Y_vals,mask_id,Stain,X_vals,file_name,DJID,Eye,eGFP_Value,in_rip
"88231, 88395, 89662, 90581, 92721, 93422, 94257, 96263, 102901, 106979, 113498, 118396, 123006, 128010, 131349, 133521, 134549, 136226, 140349, 145619, 149121, 161046, 173798, 187130, 194889, 212342, 220257, 221596, 234218, 234353, 249112, 260488, 280692, 292319, 303742, 306467, 309088, 308771, 309718, 307741, 308078, 302231, 297499, 288408, 281514, 275154, 262443, 252293, 241271, 239966, 232436, 220773, 213954, 188334, 171666, 153908, 140237, 133487, 125030, 124690, 123735, 121661, 119429, 119669, 116545, 116528, 114440, 113235, 112095, 111675, 111285, 111638, 110943, 111840, 111963, 111087, 110011, 110750, 109578, 109558, 109070, 108111, 107789, 107530, 108858, 107405, 107471, 106381, 107291, 107516, 106902, 107047, 106191, 105988, 106811, 106648, 105978, 105996, 104708, 106302, 105154, 105587",0,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,False
"12355, 12520, 12597, 12537, 12876, 13175, 13215, 13371, 14198, 15121, 16559, 18446, 19829, 21327, 22174, 21751, 22291, 22466, 22591, 22911, 23296, 24336, 24680, 25472, 26280, 26964, 27576, 27619, 27659, 27662, 28527, 28734, 29284, 28637, 28049, 26787, 26553, 26186, 25956, 25986, 25636, 25404, 25903, 25736, 25931, 26023, 26280, 26492, 26520, 26345, 26515, 26289, 26008, 25185, 24266, 23630, 23391, 23154, 23037, 23129, 23248, 22920, 22669, 22344, 22567, 22373, 22165, 22129, 22013, 22754, 22822, 22120, 22638, 22418, 22471, 22659, 22798, 22414, 22258, 22584, 22433, 22277, 22384, 22660, 22514, 22576, 22607, 22420, 22503, 22732, 22552, 22607, 22722, 22911, 22786, 23102, 23608, 24330, 24857, 25364, 26145, 26819",0,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,False
"36257, 36092, 38264, 41798, 46942, 55160, 59660, 71806, 104533, 139069, 199090, 246552, 266027, 246495, 226725, 219905, 208466, 204777, 188716, 182424, 177648, 167745, 161456, 153917, 150720, 143620, 139686, 139021, 134444, 132508, 126718, 121821, 114755, 110974, 108303, 104473, 102426, 102613, 99967, 99946, 97182, 91182, 87975, 82556, 80023, 77422, 73306, 72112, 72494, 72894, 74666, 78916, 81170, 91916, 98678, 106853, 112685, 112715, 106601, 106892, 104652, 102507, 100769, 95442, 92933, 89454, 84331, 79387, 74037, 71847, 71238, 71511, 70647, 69376, 67429, 65953, 63038, 61154, 58362, 57136, 54349, 53192, 53032, 52289, 51982, 50299, 48682, 47930, 46610, 44718, 43331, 42405, 41542, 40761, 40652, 40151, 39087, 38389, 37738, 37216, 36635, 36053",0,WGA,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,False
"3717, 3686, 3944, 4754, 5774, 7369, 7972, 10024, 15193, 20089, 27316, 32925, 35887, 36125, 34980, 34384, 33063, 33182, 31319, 30624, 29845, 27819, 26541, 24808, 24182, 22729, 22108, 21880, 21193, 20898, 19957, 19005, 17986, 17440, 16750, 16531, 16148, 16022, 15567, 15449, 15024, 14473, 13636, 13074, 12625, 12020, 11519, 11232, 11163, 11417, 11576, 11883, 12139, 13151, 13546, 14390, 14740, 14803, 13783, 13944, 13477, 13292, 13062, 12314, 12010, 11589, 11073, 10619, 9897, 9591, 9341, 9503, 9603, 9257, 9105, 8852, 8569, 8184, 7901, 7883, 7308, 7383, 7140, 7161, 7125, 6867, 6521, 6324, 6094, 5854, 5406, 5418, 5236, 5275, 5154, 5096, 4789, 4724, 4307, 4383, 4285, 4167",0,GluT1,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,False
"109662, 110592, 111608, 113614, 115944, 118898, 118970, 124266, 134349, 142049, 154608, 166585, 177692, 196129, 208142, 211329, 222501, 226234, 246614, 258093, 270725, 296071, 313349, 328373, 329763, 337330, 343504, 341079, 343018, 343789, 343853, 343060, 338441, 328157, 323772, 312705, 306608, 306363, 298824, 295725, 290058, 275552, 267254, 241456, 214855, 193679, 169803, 162152, 158274, 153874, 153028, 149275, 147144, 144425, 142698, 140028, 138536, 138332, 136750, 136495, 135749, 137031, 136496, 135250, 135306, 134624, 134839, 133713, 132729, 133311, 132644, 133330, 133430, 132826, 133203, 133466, 133168, 132685, 130963, 131724, 132577, 131260, 131097, 131107, 131842, 132139, 131110, 130726, 130868, 131075, 131240, 130357, 130036, 130364, 130052, 129151, 130258, 130640, 130073, 130152, 130315, 129758",1,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,False
"16739, 16952, 17269, 17329, 18253, 18634, 19093, 19695, 21844, 23976, 27334, 32244, 37375, 46682, 52316, 53121, 58343, 60251, 66990, 71720, 74926, 83255, 88287, 93376, 94355, 98495, 98450, 98898, 99914, 98883, 99340, 99649, 99155, 100385, 99657, 100727, 99759, 100258, 99106, 98803, 98871, 98252, 96616, 94870, 92107, 88750, 84182, 80010, 75042, 73404, 70395, 65794, 62576, 51856, 46900, 40023, 35924, 34090, 32178, 32564, 31974, 31611, 31489, 32120, 31914, 31912, 32494, 32032, 32507, 32137, 32215, 31936, 31742, 31671, 31446, 31480, 31599, 31853, 32367, 33502, 33632, 34093, 34318, 34144, 33530, 34213, 34236, 33835, 33394, 32669, 32679, 33466, 33433, 33890, 33630, 34121, 35339, 35469, 35251, 35392, 36551, 35911",1,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,False
"41923, 41636, 44136, 47779, 53389, 62321, 67111, 80130, 116486, 156574, 227492, 283698, 296882, 256931, 222996, 214514, 193258, 187540, 158553, 148166, 138870, 122743, 112493, 101602, 98426, 90233, 86878, 86759, 82915, 82289, 80208, 78873, 78525, 79924, 83351, 86336, 88669, 89241, 90124, 90375, 92447, 97272, 100861, 108137, 114029, 118241, 120164, 121122, 120490, 120993, 119758, 119134, 119177, 119778, 120171, 119381, 117854, 113381, 105825, 105581, 103359, 101006, 98463, 94418, 92331, 89321, 86221, 82593, 78579, 76582, 75569, 76218, 75299, 74335, 72347, 70639, 68233, 66823, 64917, 63285, 60943, 60156, 59644, 59358, 59007, 57745, 55964, 55128, 54052, 52559, 51601, 50790, 49823, 49119, 49121, 48604, 47443, 46888, 46038, 45423, 44889, 44039",1,WGA,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,False
"5428, 5435, 6122, 7122, 8600, 11042, 11855, 14811, 22292, 29984, 41199, 50737, 55617, 57514, 57318, 56824, 56663, 55890, 55623, 55088, 54756, 53348, 50785, 47396, 45761, 42059, 40505, 40202, 37984, 37689, 35689, 33733, 32027, 31149, 29850, 29069, 29243, 29114, 28628, 28762, 28677, 28699, 29059, 29575, 30133, 30340, 29464, 28897, 28334, 27674, 26974, 26192, 25556, 23263, 22003, 20162, 18854, 17162, 15808, 15716, 15304, 15122, 14630, 13848, 13637, 12991, 12565, 12126, 11155, 10829, 10612, 10913, 10808, 10736, 10454, 9996, 9784, 9300, 9094, 8826, 8441, 8238, 8099, 8282, 8191, 7936, 7746, 7573, 7247, 6868, 6678, 6691, 6575, 6541, 6223, 6230, 6146, 6055, 5552, 5614, 5509, 5338",1,GluT1,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,False
"29736, 29316, 29692, 29807, 30539, 30738, 31581, 32734, 33959, 36208, 38443, 40210, 42128, 42969, 44451, 44167, 45669, 45637, 47522, 48577, 49561, 54333, 60917, 67563, 70996, 79940, 83483, 86420, 90382, 90968, 96134, 98929, 106547, 112543, 118371, 123650, 124867, 125385, 126539, 127399, 127473, 124404, 123137, 117956, 113740, 108041, 99700, 92550, 84986, 83169, 78542, 70460, 64770, 54075, 50603, 46547, 44132, 42448, 40247, 40400, 40134, 40002, 39786, 38339, 38124, 38312, 37779, 37546, 37683, 36820, 37667, 36848, 36766, 37219, 36404, 37087, 36343, 36455, 36556, 36946, 35910, 36079, 36411, 35518, 36226, 36011, 36164, 36138, 35684, 35569, 35698, 35818, 35325, 35811, 35120, 35052, 35317, 35471, 35344, 35283, 34832, 35023",3,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,False
"4394, 4368, 4481, 4531, 4642, 4740, 4682, 4930, 5351, 5855, 6792, 7990, 9010, 11764, 13670, 14434, 15828, 16622, 19777, 20929, 21621, 20308, 16884, 14297, 13523, 12911, 12005, 11869, 11595, 11614, 10304, 9587, 8363, 7656, 7086, 6729, 6485, 6470, 6399, 6232, 6273, 6263, 6294, 6238, 6251, 6378, 6750, 7014, 7260, 7128, 7500, 7690, 7764, 8050, 8090, 8166, 8143, 8179, 8781, 8942, 8885, 9223, 9024, 9282, 8828, 8438, 8329, 7862, 7861, 7626, 7740, 7446, 7786, 7546, 7537, 7527, 7392, 7553, 7595, 7676, 7530, 7463, 7490, 7522, 7346, 7452, 7427, 7505, 7364, 7523, 7439, 7374, 7638, 7507, 7653, 7482, 7871, 8030, 7800, 8138, 8417, 8606",3,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,False
