mask_id,Slice_Seperation,file_name,DJID,Sex,Eye,Age_Months,Genotype,Experimental_Condition,Time_Condition,eGFP_Value,eGFP_Raw_Intensity,In_Rip,Length_um,WGA_Middle_Integral,GLUT1_Middle_Integral,WGA_Top_Integral,GLUT1_Top_Integral,WGA_Bottom_Integral,GLUT1_Bottom_Integral,GLUT1_Top_Surface_Integral,GLUT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,Top_Surface_Ratio,Bot_Surface_Ratio
0,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.7630025302220975,False,4.8,602.5448411582795,40.0756255271296,183.94658420016867,15.506325555243182,146.24177677818386,2.513916221535001,43.848186674163614,6.466966544841159,486.240371099241,288.07984256395844,0.09017800511922994,0.022448521518493216
1,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,5.3621922996002525,False,3.75,636.897538396802,70.77098674521355,174.86787292236482,13.115716389648643,202.02019776982957,5.266989269934778,60.1802019776983,16.7548916473806,504.7671996633705,408.27835051546396,0.11922367780202936,0.041037913536750195
2,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.788554317085343,False,3.9,653.2408916985526,34.72350690400932,184.58758941939777,6.362335717850607,206.50357677591083,6.585426717684245,26.145400099817,15.894193977707536,517.0968224920978,417.1966394942605,0.05056190439115791,0.038097607873771464
3,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.5808922938260475,False,3.9,565.8769716088327,30.404236142406493,167.5013519603425,7.915502478593961,198.95223073456512,4.573907165389816,27.717890941865704,11.333032897701667,460.0274898602974,389.59283461018475,0.06025268392174381,0.029089428477403003
4,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.680223068552775,False,4.5,642.0170021762784,63.519858541893356,200.9132208922742,16.128128400435255,155.269042437432,4.61044613710555,58.44872143634385,11.007752992383026,513.0825625680087,313.27380304679,0.11391679565917136,0.03513780241222062
5,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.1782675947409125,False,3.5999999999999996,498.05645784996136,47.75754060324826,183.10982211910283,17.490719257540604,150.23163186388243,7.948569218870844,51.728151585460175,15.8507347254447,465.7293116782676,301.5564578499614,0.11106913455598584,0.05256307504888915
6,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.659345486492422,False,5.1,561.1638480122995,62.74544256534153,169.6815286624204,15.174170876345265,127.13046343070502,3.353173731605535,51.99385020865364,9.801888864484955,423.8172633428509,255.44146716450692,0.12267987811197945,0.038372347971883665
7,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.636945695992412,False,4.6499999999999995,675.6817642874081,51.59758121887598,212.84230495612994,13.692435380602323,162.1569836376571,7.897083234526915,40.66587621531895,19.285273891391988,517.8157457908466,336.63789423760966,0.07853348714456532,0.0572878877319136
8,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.468177189409369,False,4.8,568.6099796334012,44.86354378818737,200.40580448065174,10.87347250509165,135.3253564154786,4.113289205702648,37.30753564154786,11.108452138492872,478.8286659877801,268.7836048879837,0.07791416490194003,0.04132860761028319
9,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.6571358748778104,False,4.6499999999999995,644.1400293255132,44.843108504398835,190.66202346041058,12.09286412512219,176.11021505376345,5.234604105571847,38.95405669599218,13.599951124144672,494.46896383186703,355.69477028347995,0.0787795787911931,0.038234891992665075
10,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.45348581482296,False,4.95,651.1939740488234,69.7655597096987,244.93292280624587,27.339564548053662,120.96305256212887,2.5069276446008364,74.11875962172861,7.35254013635364,562.8192214647021,250.4132394985705,0.1316919479559336,0.02936162700932437
11,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.393620519565932,False,4.95,655.3216047352845,66.38507070042749,175.34824071029266,13.903978954291352,158.38441302203225,5.614271621177245,56.32555080565604,13.37783623807958,488.80368299901346,318.38112463005587,0.1152314370057022,0.042018308257513716
12,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.336249524534043,False,4.8,608.195131228604,69.77862305058957,191.85013313046784,16.307341194370483,167.04830734119437,7.572080639026246,61.13160897679727,18.638265500190187,496.40699885888165,327.94370483073413,0.1231481609190118,0.056833734649092284
13,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.7214285714285715,False,5.25,693.8931818181818,60.66428571428571,189.18733766233765,9.25974025974026,173.86233766233767,7.859090909090908,34.18766233766234,23.152272727272727,490.75454545454545,356.9003246753247,0.06966346548251963,0.0648704165465093
14,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.5770979743695746,False,5.25,662.4811905746176,53.863993385696574,194.46961554361306,9.605622157916494,169.30136420008267,7.7007027697395625,33.89582472095907,22.40884663083919,489.0028937577511,343.9462587846217,0.06931620477843398,0.06515217438335782
15,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.6629506641366225,False,4.5,644.1992409867175,51.597485768500945,170.5,8.383064516129032,179.1311669829222,7.429791271347248,40.32352941176471,15.875237191650854,486.66959203036055,364.9037001897533,0.08285606923485196,0.04350527874448953
16,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.750316656111463,False,4.8,713.1450284990501,63.59388853704877,181.90056998100061,12.762666244458519,154.85338822039265,5.302406586447119,51.8727042431919,11.854654844838507,507.83945535148837,317.3389803673211,0.10214390334695343,0.037356440835338595
17,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.711505791505791,False,4.5,591.1246332046331,54.12679536679537,182.9664864864865,16.767567567567568,140.944555984556,3.7964478764478766,53.94903474903475,9.25003861003861,468.0637837837837,284.40911196911196,0.1152600064737242,0.03252370694453419
18,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,True,5.958889418493803,False,,,,187.73570066730218,14.141682554814109,,,67.2025738798856,,525.588298379409,,0.12786162493932418,
19,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.725592293673523,False,4.35,597.9437646446238,57.41291330382712,193.1627180421765,13.580057276750846,141.24472793543347,2.242905493361104,55.54386878417078,6.606352512366571,516.0687321010154,277.88987242905495,0.10762882021168184,0.023773275559198965
20,0.15,3985L_GLUT1647_WGA594_0001.nd2,3985,F,L,7,Het,Control,0,False,4.537308821257532,False,4.5,526.8112158195582,47.015912250888306,186.09717287192953,11.831453730882126,124.40058705391628,2.928472114938977,40.33307585354549,8.031052062413101,440.1361038158504,248.0548431948092,0.09163773547289031,0.03237611472921711
