file_name,z0,z1,date
3420L_GLUT1_647_WGA_594_0001.nd2,7,24,10:44_19_08_2024
3420L_GLUT1_647_WGA_594_0002.nd2,11,29,10:47_19_08_2024
3420L_GLUT1_647_WGA_594_0003.nd2,0,22,10:49_19_08_2024
3420RA_GLUT1_647_WGA_594_0001.nd2,0,14,10:54_19_08_2024
3420RA_GLUT1_647_WGA_594_0002.nd2,0,25,10:57_19_08_2024
3420RA_GLUT1_647_WGA_594_0003.nd2,5,23,11:00_19_08_2024
3527LC_dark_WGA594_GLUT1_647_TUSC5_001.nd2,0,33,11:03_19_08_2024
3527LC_dark_WGA594_GLUT1_647_TUSC5_002.nd2,19,34,11:07_19_08_2024
3527LC_dark_WGA594_GLUT1_647_TUSC5_003.nd2,13,32,11:11_19_08_2024
3527LD_dark_WGA594_GLUT1_647_TUSC5_001.nd2,21,37,11:14_19_08_2024
3527LD_dark_WGA594_GLUT1_647_TUSC5_002.nd2,30,39,11:19_19_08_2024
3527LD_dark_WGA594_GLUT1_647_TUSC5_003.nd2,28,34,11:24_19_08_2024
3527LD_dark_WGA594_GLUT1_647_TUSC5_004.nd2,23,44,11:28_19_08_2024
3527RA_light_WGA594_GLUT1_647_TUSC5_001.nd2,31,34,11:32_19_08_2024
3527RA_light_WGA594_GLUT1_647_TUSC5_002.nd2,0,24,11:38_19_08_2024
3527RA_light_WGA594_GLUT1_647_TUSC5_003.nd2,21,22,11:42_19_08_2024
3529RC_GLUT1_647_WGA_594_0001.nd2,22,25,11:45_19_08_2024
3529RD_GLUT1_647_WGA_594_0001.nd2,13,24,11:49_19_08_2024
3529RD_GLUT1_647_WGA_594_0002.nd2,0,21,11:52_19_08_2024
3529RD_GLUT1_647_WGA_594_0003.nd2,12,28,11:55_19_08_2024
3574LC_dark_WGA594_GLUT1_647_TUSC5_001.nd2,17,50,11:57_19_08_2024
3574LC_dark_WGA594_GLUT1_647_TUSC5_002.nd2,0,47,12:01_19_08_2024
3574LC_dark_WGA594_GLUT1_647_TUSC5_003.nd2,4,22,12:04_19_08_2024
3574LD_dark_WGA594_GLUT1_647_TUSC5_001.nd2,0,23,12:07_19_08_2024
3574LD_dark_WGA594_GLUT1_647_TUSC5_002.nd2,0,32,12:11_19_08_2024
3574LD_dark_WGA594_GLUT1_647_TUSC5_003.nd2,0,35,12:13_19_08_2024
3574RA_light_WGA594_GLUT1_647_TUSC5_001.nd2,0,41,12:15_19_08_2024
3574RA_light_WGA594_GLUT1_647_TUSC5_002.nd2,0,66,12:20_19_08_2024
3574RA_light_WGA594_GLUT1_647_TUSC5_003.nd2,2,33,12:24_19_08_2024
3574RB_light_WGA594_GLUT1_647_TUSC5_001.nd2,0,42,12:27_19_08_2024
3574RB_light_WGA594_GLUT1_647_TUSC5_002.nd2,11,23,12:32_19_08_2024
3604R_GLUT1_WGA_0001.nd2,0,41,17:25_28_08_2024
3604R_GLUT1_WGA_0002.nd2,22,27,17:26_28_08_2024
3604R_GLUT1_WGA_0003.nd2,32,47,17:27_28_08_2024
3606R_GLUT1_WGA_0001.nd2,21,50,17:28_28_08_2024
3606R_GLUT1_WGA_0002.nd2,0,29,17:29_28_08_2024
3653L_GLUT1_WGA_0001.nd2,24,42,17:30_28_08_2024
3653L_GLUT1_WGA_0002.nd2,31,52,17:31_28_08_2024
3653L_GLUT1_WGA_0003.nd2,19,43,17:31_28_08_2024
3654L_GLUT1_WGA_0001.nd2,16,42,17:32_28_08_2024
3654L_GLUT1_WGA_0002.nd2,18,34,17:32_28_08_2024
3654L_GLUT1_WGA_0003.nd2,21,49,17:33_28_08_2024
3656R_GLUT1_WGA_0001.nd2,23,51,17:33_28_08_2024
3656R_GLUT1_WGA_0002.nd2,27,46,17:34_28_08_2024
3656R_GLUT1_WGA_0003.nd2,20,47,17:34_28_08_2024
3656R_GLUT1_WGA_0004.nd2,11,41,17:34_28_08_2024
3656R_GLUT1_WGA_0005.nd2,0,43,17:34_28_08_2024
3603L_GLUT1_WGA_0001.nd2,0,65,17:54_01_09_2024
3603L_GLUT1_WGA_0002.nd2,0,63,17:55_01_09_2024
3603L_GLUT1_WGA_0003.nd2,0,39,17:55_01_09_2024
3607R_GLUT1_WGA_0001.nd2,0,51,17:56_01_09_2024
3607R_GLUT1_WGA_0002.nd2,22,31,17:57_01_09_2024
3607R_GLUT1_WGA_0003.nd2,0,35,17:57_01_09_2024
3608R_GLUT1_WGA_0001.nd2,5,38,17:58_01_09_2024
3608R_GLUT1_WGA_0002.nd2,24,32,17:58_01_09_2024
3608R_GLUT1_WGA_0003.nd2,12,38,17:59_01_09_2024
3655R_GLUT1_WGA_0001.nd2,4,22,18:00_01_09_2024
3655R_GLUT1_WGA_0002.nd2,0,25,18:00_01_09_2024
3655R_GLUT1_WGA_0003.nd2,25,45,18:01_01_09_2024
3657R_GLUT1_WGA_0001.nd2,0,21,18:01_01_09_2024
3657R_GLUT1_WGA_0002.nd2,0,31,18:01_01_09_2024
3657R_GLUT1_WGA_0003.nd2,17,29,18:02_01_09_2024
