DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
3603,het,L,Male,3.0,0,Light Flicker,0,3.75,90,3184,821,139673,63515,794,14866,490,88639,296237,80586
3603,het,L,Male,3.0,0,Light Flicker,0,2.6999999999999997,90,8606,5120,190966,108178,2150,27421,5015,138168,331592,141310
3603,het,L,Male,3.0,0,Light Flicker,0,2.55,90,14177,6742,360617,269820,4002,39828,7378,241663,719761,354142
3603,het,L,Male,3.0,0,Light Flicker,0,2.25,90,6762,4344,293783,201291,1389,19088,4771,179458,587681,273620
3603,het,L,Male,3.0,0,Light Flicker,0,4.05,90,2791,1513,125655,60242,1027,24868,701,89147,289750,74709
3603,het,L,Male,3.0,0,Light Flicker,0,3.0,90,10574,8001,345624,231241,2221,47261,8972,186857,805286,289851
3603,het,L,Male,3.0,0,Light Flicker,0,4.05,90,1840,581,103081,57637,269,10052,215,62440,248317,71904
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,5920,3082,166124,82454,891,31543,2398,111393,343130,112460
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,7613,2646,177320,101755,1812,29580,2169,118759,367974,129357
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,11600,2580,260825,139849,2314,39606,2920,168809,597612,188013
3603,het,L,Male,3.0,0,Light Flicker,0,4.05,90,5286,1400,107059,41879,1280,25862,652,74396,226958,56561
3603,het,L,Male,3.0,0,Light Flicker,0,4.2,90,7924,2775,154837,78666,1223,45379,1908,96176,416644,95146
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,8510,2720,132907,73005,2171,29475,2527,85042,287340,92742
3603,het,L,Male,3.0,0,Light Flicker,0,2.4,90,6647,10006,272431,172983,1177,43072,6689,149614,496340,209769
3603,het,L,Male,3.0,1,Light Flicker,0,3.4499999999999997,90,5022,3355,138496,77924,924,36642,3166,84640,309755,93540
3603,het,L,Male,3.0,0,Light Flicker,0,4.05,90,10881,2971,137049,70814,2266,53383,2007,94584,356886,86817
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,14005,6753,240331,149630,4267,63717,5875,161895,549112,177149
3603,het,L,Male,3.0,0,Light Flicker,0,4.2,90,6410,2309,122198,48643,1137,35664,1505,87236,266314,61055
3603,het,L,Male,3.0,0,Light Flicker,0,2.6999999999999997,90,18112,7815,154076,61720,6098,48860,7819,95139,285499,88597
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,13544,6593,154860,89846,4813,46142,5735,94381,342013,120966
3603,het,L,Male,3.0,0,Light Flicker,0,3.9,90,10628,2964,129564,45747,3138,37407,1927,80307,243763,55470
3603,het,L,Male,3.0,0,Light Flicker,0,3.4499999999999997,90,8774,4719,166128,58565,2236,40652,3391,113681,280591,77074
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,15570,3546,178086,77092,5814,31118,2951,120447,355912,99232
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,16082,10744,220628,152175,3035,106730,8743,138124,550896,189272
3603,het,L,Male,3.0,0,Light Flicker,0,3.5999999999999996,90,10223,2864,108307,60785,3189,39803,1762,75298,234268,76085
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,17199,8212,271486,157955,4618,65762,8132,174211,615906,182602
3603,het,L,Male,3.0,0,Light Flicker,0,2.55,90,13048,14612,197962,95906,2937,66289,14153,122514,329103,123970
3603,het,L,Male,3.0,0,Light Flicker,0,4.05,90,3882,1985,102114,64402,514,31534,1597,60553,269681,76668
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,10402,6941,228908,126462,2031,46379,6834,159103,534618,165007
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,20327,1003,153517,57178,6405,34528,1026,100695,247828,71220
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,8161,6706,198053,152188,1569,37035,9157,111729,493513,198998
3603,het,L,Male,3.0,1,Light Flicker,0,3.0,90,22481,5727,184388,95231,7383,65476,4640,114946,338881,117177
3603,het,L,Male,3.0,1,Light Flicker,0,3.15,90,9924,8139,160350,130467,2208,50746,7570,97238,409369,155047
3603,het,L,Male,3.0,0,Light Flicker,0,2.4,90,23756,18326,301172,171280,6427,81099,14868,209258,513092,220535
3603,het,L,Male,3.0,1,Light Flicker,0,4.05,90,8010,3582,157722,110055,1221,49037,2846,92664,476826,130042
3603,het,L,Male,3.0,0,Light Flicker,0,2.25,90,23961,11637,376749,268943,5345,52563,15821,212640,698196,351236
3603,het,L,Male,3.0,0,Light Flicker,0,2.85,90,10848,2024,134745,83088,3667,17687,3772,88480,276103,118790
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,17696,2826,127913,55176,4776,50475,2432,78490,242807,70777
3603,het,L,Male,3.0,0,Light Flicker,0,3.0,90,16082,11329,285258,197637,3634,67886,13666,196231,628817,269204
3603,het,L,Male,3.0,0,Light Flicker,0,2.85,90,16251,5566,145317,73496,4821,57911,3837,92245,247813,94027
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,11748,12423,171302,99070,2552,65278,11889,97862,423643,131576
3603,het,L,Male,3.0,0,Light Flicker,0,3.9,90,7202,5408,133970,82240,2020,27534,3749,90868,337143,103477
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,9511,8669,219808,132377,1757,49789,6836,137747,495620,152882
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,9012,6034,150354,79651,1483,55248,5184,100859,294874,98471
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,31330,12585,235983,170901,10193,100099,11434,139925,585686,222597
3603,het,L,Male,3.0,0,Light Flicker,0,4.05,90,6524,1580,95099,51718,914,32887,1081,57070,248818,64009
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,14969,7749,145517,91086,4763,62401,5194,87392,307367,106849
3603,het,L,Male,3.0,0,Light Flicker,0,2.85,90,13418,13967,175776,111009,2840,62157,12543,96939,374781,140403
3603,het,L,Male,3.0,0,Light Flicker,0,3.0,90,24711,12471,345401,277969,5311,79633,14717,210222,928543,343236
3603,het,L,Male,3.0,0,Light Flicker,0,3.4499999999999997,90,14641,9799,206797,104620,3165,67089,8054,128292,501681,136352
3603,het,L,Male,3.0,0,Light Flicker,0,2.85,90,19473,5156,166294,86665,5452,53397,5229,97026,348739,114232
3603,het,L,Male,3.0,0,Light Flicker,0,3.5999999999999996,90,6152,8349,138966,77670,696,56828,6655,83645,313760,99848
3603,het,L,Male,3.0,0,Light Flicker,0,3.9,90,11788,4656,152118,91354,2376,38921,4280,93750,421427,111297
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,11425,6477,144682,80106,2543,53166,5414,99892,302421,106941
3603,het,L,Male,3.0,0,Light Flicker,0,3.75,90,13801,4236,120001,59006,3814,46793,2706,81621,271240,74999
3603,het,L,Male,3.0,0,Light Flicker,0,4.2,90,11252,1347,110049,51322,2421,39833,772,63990,278983,61894
3603,het,L,Male,3.0,0,Light Flicker,0,2.6999999999999997,90,3479,5745,91948,61266,452,19941,5894,51071,176053,81438
3603,het,L,Male,3.0,1,Light Flicker,0,2.85,90,15160,5950,180655,152243,3858,43396,6782,121900,442165,190353
3603,het,L,Male,3.0,0,Light Flicker,0,4.2,90,24920,7204,376474,219478,6474,103520,6541,274586,1024268,259819
3603,het,L,Male,3.0,0,Light Flicker,0,4.05,90,15586,5961,224572,138525,2464,63920,5666,116641,719662,178108
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,23848,5777,245333,159937,6328,59024,7683,152371,625381,216994
3603,het,L,Male,3.0,0,Light Flicker,0,3.9,90,6308,1971,78642,41620,1078,27746,1492,40646,233794,58986
3603,het,L,Male,3.0,0,Light Flicker,0,3.75,90,207,408,99861,59005,59,2142,224,69448,264448,77972
3603,het,L,Male,3.0,0,Light Flicker,0,2.4,90,1,291,3644,190341,0,89,570,1211,139345,198426
3603,het,L,Male,3.0,0,Light Flicker,0,3.0,90,433,186,140431,85768,157,1467,279,107989,309653,118248
3603,het,L,Male,3.0,0,Light Flicker,0,4.2,90,695,581,250593,138233,155,4107,663,155408,747831,186852
3603,het,L,Male,3.0,0,Light Flicker,0,2.25,90,0,306,3874,189597,0,51,1055,1249,122966,209848
3603,het,L,Male,3.0,0,Light Flicker,0,3.4499999999999997,90,871,460,174669,130957,251,3925,392,132934,440370,171350
3603,het,L,Male,3.0,0,Light Flicker,0,4.2,90,633,320,213279,116158,207,3225,367,137809,531036,153038
3603,het,L,Male,3.0,0,Light Flicker,0,2.25,90,0,235,2896,150779,0,23,918,891,86461,183511
3603,het,L,Male,3.0,0,Light Flicker,0,2.25,90,0,971,4472,232287,0,281,1960,1345,164382,286891
3603,het,L,Male,3.0,0,Light Flicker,0,2.25,90,1215,1666,414547,321364,246,4280,2430,254838,897083,427368
3603,het,L,Male,3.0,0,Light Flicker,0,3.5999999999999996,90,524,175,151687,87067,177,1182,299,118735,348428,117763
3603,het,L,Male,3.0,0,Light Flicker,0,3.0,90,1296,885,336642,270326,330,4818,1006,252461,857152,362576
3603,het,L,Male,3.0,0,Light Flicker,0,3.75,90,2826,1336,476541,379881,812,9599,1209,292938,1608798,488885
3603,het,L,Male,3.0,1,Light Flicker,0,2.55,90,630,527,252138,176145,305,1523,686,230335,519918,248152
3603,het,L,Male,3.0,0,Light Flicker,0,2.85,90,1715,1512,299851,198497,468,9828,1218,206897,660411,276636
3603,het,L,Male,3.0,0,Light Flicker,0,2.55,90,1003,718,362558,242638,354,3470,1425,281104,793246,336181
3603,het,L,Male,3.0,0,Light Flicker,0,3.9,90,606,291,223645,126751,155,2668,338,173428,572393,174750
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,2881,1282,464899,368114,1024,8709,1566,329662,1272788,479948
3603,het,L,Male,3.0,0,Light Flicker,0,2.55,90,1439,1105,456840,386565,416,3271,2047,329449,1068159,504961
3603,het,L,Male,3.0,0,Light Flicker,0,2.6999999999999997,90,1648,1869,568932,529475,308,8055,2441,377106,1463394,698492
3603,het,L,Male,3.0,0,Light Flicker,0,3.5999999999999996,90,266,220,173779,114926,94,1834,404,136662,413151,154231
3603,het,L,Male,3.0,0,Light Flicker,0,2.25,90,610,796,348355,229591,194,2598,1287,280919,664524,316972
3603,het,L,Male,3.0,0,Light Flicker,0,3.4499999999999997,90,352,401,248006,148672,154,1824,697,220264,562487,199447
3603,het,L,Male,3.0,0,Light Flicker,0,2.25,90,844,975,392913,249533,329,2822,1183,329408,727055,343545
3603,het,L,Male,3.0,0,Light Flicker,0,4.05,90,654,337,227405,126538,219,3015,394,164002,638557,169448
3603,het,L,Male,3.0,0,Light Flicker,0,3.4499999999999997,90,460,268,156776,99035,85,2589,336,116870,363642,135996
3603,het,L,Male,3.0,0,Light Flicker,0,4.6499999999999995,90,2092,136,117555,62212,503,15611,282,79812,359789,84622
3603,het,L,Male,3.0,1,Light Flicker,0,3.0,90,718,690,337327,278573,174,2115,1106,221429,882347,367860
3603,het,L,Male,3.0,0,Light Flicker,0,3.4499999999999997,90,789,744,347256,215441,319,3338,1168,309850,812506,278732
3603,het,L,Male,3.0,0,Light Flicker,0,4.2,90,739,416,229680,140172,173,3893,343,150349,683368,188589
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,1491,911,380852,237113,398,5128,937,258801,975323,324198
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,557,509,226569,133044,125,2326,486,171892,503660,187985
3603,het,L,Male,3.0,0,Light Flicker,0,3.75,90,468,169,155006,84397,181,1570,177,131121,318406,112389
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,2806,1793,606197,346374,797,7378,1762,465124,1545708,449361
3603,het,L,Male,3.0,0,Light Flicker,0,3.75,90,1181,1956,373167,244658,244,7020,1859,229952,1075055,322958
