DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
3604,homo,R,Male,2.8,1,Dark,0,2.6999999999999997,30,3400,2196,815442,390650,1228,8785,3106,520606,1367248,500967
3604,homo,R,Male,2.8,1,Dark,0,5.55,30,5141,1738,969221,377866,1595,25514,1895,480988,2569341,486597
3604,homo,R,Male,2.8,0,Dark,0,4.8,30,4726,3451,899635,430962,1549,16368,2452,359102,2170974,533661
3604,homo,R,Male,2.8,0,Dark,0,2.55,30,883,468,102877,189118,2108,1884,459,199924,341142,255896
3604,homo,R,Male,2.8,1,Dark,0,6.6,30,2192,290,671069,165911,552,17842,151,446687,2112894,125269
3604,homo,R,Male,2.8,0,Dark,0,5.3999999999999995,30,7238,1971,1075261,338233,3155,31884,2083,770078,2689559,476195
3604,homo,R,Male,2.8,0,Dark,0,6.3,30,3471,236,781831,263226,887,14280,163,292986,2168504,355224
3604,homo,R,Male,2.8,0,Dark,0,7.35,30,2412,305,595058,93802,707,8576,94,279097,1468873,37536
3604,homo,R,Male,2.8,0,Dark,0,6.1499999999999995,30,411,149,134886,70441,79,2881,162,34513,416209,97504
3604,homo,R,Male,2.8,1,Dark,0,6.6,30,4137,753,924644,324661,1391,20162,560,636372,3145769,231372
3604,homo,R,Male,2.8,1,Dark,0,2.4,30,3989,1808,1046617,663432,1239,9510,4140,632598,2028212,839043
3604,homo,R,Male,2.8,0,Dark,0,4.2,30,4318,402,333291,278793,9946,4244,450,875056,900346,353388
3604,homo,R,Male,2.8,1,Dark,0,6.75,30,3212,96,691845,187372,821,20795,155,276523,2316385,192705
3604,homo,R,Male,2.8,0,Dark,0,5.55,30,386,61,101792,58196,77,1336,44,26946,274724,74491
3604,homo,R,Male,2.8,0,Dark,0,6.1499999999999995,30,757,528,261403,111547,176,7312,396,192821,757428,109005
3604,homo,R,Male,2.8,0,Dark,0,6.8999999999999995,30,2058,255,575756,192943,540,9824,111,357411,1697065,96297
3604,homo,R,Male,2.8,1,Dark,0,4.95,30,6674,3652,1064511,358678,2441,35081,5265,783574,2467256,491642
3604,homo,R,Male,2.8,0,Dark,0,6.1499999999999995,30,4410,1358,680941,340342,893,31239,947,176569,2450685,464987
3604,homo,R,Male,2.8,1,Dark,0,5.25,30,9659,5461,1209742,598578,2518,67214,4206,482747,3931266,815005
3604,homo,R,Male,2.8,1,Dark,0,3.0,30,3062,1072,219896,152156,6371,4946,1073,384903,538751,216930
3604,homo,R,Male,2.8,0,Dark,0,6.45,30,2634,461,649078,135087,807,19926,615,303978,1690257,162747
3604,homo,R,Male,2.8,0,Dark,0,4.95,30,3512,1987,887170,253023,762,25743,2612,615326,2349084,378873
3604,homo,R,Male,2.8,0,Dark,0,2.6999999999999997,30,4213,3338,903388,760473,1270,15479,4964,526269,1902060,962711
3604,homo,R,Male,2.8,0,Dark,0,6.8999999999999995,30,4906,1056,866750,245390,1602,39030,297,684705,2857803,98259
3604,homo,R,Male,2.8,1,Dark,0,4.6499999999999995,30,9188,6068,1109348,655385,1542,49174,7515,269628,3457450,864534
3604,homo,R,Male,2.8,0,Dark,0,6.75,30,415,55,145298,47763,115,4418,22,96436,340640,27424
3604,homo,R,Male,2.8,0,Dark,0,6.45,30,4103,610,703206,195196,1160,35155,568,327241,2105508,247983
3604,homo,R,Male,2.8,1,Dark,0,3.15,30,1284,467,105214,190951,2820,3391,332,199309,445236,257756
3604,homo,R,Male,2.8,1,Dark,0,3.15,30,4125,3806,707775,387656,1521,15377,4688,524677,1347605,512300
3604,homo,R,Male,2.8,1,Dark,0,2.25,30,2407,743,133212,235725,4467,4927,479,252168,397956,297128
3604,homo,R,Male,2.8,1,Dark,0,5.7,30,6750,2738,1020446,454891,1953,43245,2692,584304,3027425,620526
3604,homo,R,Male,2.8,1,Dark,0,5.3999999999999995,30,4339,2020,954260,387434,653,26570,2570,597383,2884781,552922
3604,homo,R,Male,2.8,0,Dark,0,4.2,30,3600,1523,557486,183648,1239,14952,1696,387488,1097478,242811
3604,homo,R,Male,2.8,0,Dark,0,6.1499999999999995,30,3285,778,656091,221679,1067,17642,771,313355,1433140,310198
3604,homo,R,Male,2.8,0,Dark,0,5.55,30,5419,2075,620251,267092,1798,41394,1541,442359,1634238,385627
3604,homo,R,Male,2.8,1,Dark,0,2.6999999999999997,30,1770,4063,584050,325682,374,8482,6519,424405,1055473,424373
3604,homo,R,Male,2.8,1,Dark,0,6.0,30,5925,1865,850001,325951,1088,26448,1979,218469,2774128,457178
3604,homo,R,Male,2.8,0,Dark,0,6.45,30,5675,1583,743474,317911,883,38038,1429,177462,2912690,439994
3604,homo,R,Male,2.8,0,Dark,0,7.05,30,4275,961,860798,270515,1317,35882,519,402872,2373984,154195
3604,homo,R,Male,2.8,0,Dark,0,2.4,30,2486,4655,553136,290114,478,11556,5629,336598,984159,344700
3604,homo,R,Male,2.8,1,Dark,0,4.5,30,11125,14277,1613597,1053156,4196,46068,14976,1185135,3971130,1329591
3604,homo,R,Male,2.8,0,Dark,0,3.0,30,2895,5092,542335,266840,756,17183,5728,354226,1021162,321655
3604,homo,R,Male,2.8,1,Dark,0,6.3,30,3107,2417,800097,380220,425,42665,1896,479886,3025447,325377
3604,homo,R,Male,2.8,0,Dark,0,3.3,30,2619,1718,490937,412553,572,9059,4837,322252,1653153,516224
3604,homo,R,Male,2.8,0,Dark,0,7.05,30,2921,38,725047,185221,595,13073,72,195537,2397375,158595
3604,homo,R,Male,2.8,1,Dark,0,4.6499999999999995,30,7190,5128,1226509,619312,1169,34569,6663,294117,3933265,769720
3604,homo,R,Male,2.8,0,Dark,0,7.05,30,1593,156,240055,72289,541,10479,53,147097,718032,35932
3604,homo,R,Male,2.8,0,Dark,0,2.55,30,2604,3118,389464,146743,650,11757,2741,286956,645885,175705
3604,homo,R,Male,2.8,0,Dark,0,6.75,30,3742,532,571038,178493,1312,25940,419,356294,1453689,131996
3604,homo,R,Male,2.8,1,Dark,0,4.2,30,4626,2488,660555,195457,1164,21166,3601,251129,1520800,267589
3604,homo,R,Male,2.8,0,Dark,0,4.95,30,2943,1789,621988,106018,726,25630,2418,340480,1556761,185133
3604,homo,R,Male,2.8,0,Dark,0,3.15,30,2065,163,495253,192443,546,4988,125,193147,1138228,239214
3604,homo,R,Male,2.8,0,Dark,0,3.0,30,4780,2644,788777,215380,1609,16230,4070,396218,1116924,289042
3604,homo,R,Male,2.8,1,Dark,0,6.6,30,8686,113,616239,105587,3297,23481,120,381751,1671368,94361
3604,homo,R,Male,2.8,1,Dark,0,6.0,30,4097,797,643132,130380,961,20060,740,466222,2620436,118561
3604,homo,R,Male,2.8,0,Dark,0,3.9,30,365,202,92418,20706,95,832,275,62482,156083,28984
3604,homo,R,Male,2.8,1,Dark,0,6.8999999999999995,30,3281,1299,730021,224368,608,31267,357,463956,2438747,91162
3604,homo,R,Male,2.8,0,Dark,0,3.15,30,2896,1057,511081,232284,611,12660,1791,190231,1140658,302090
3604,homo,R,Male,2.8,1,Dark,0,3.4499999999999997,30,6333,3703,946919,476034,1818,19732,6407,440390,1955196,594703
3604,homo,R,Male,2.8,1,Dark,0,3.75,30,5179,5161,574436,239081,1462,34059,6847,361652,1498875,306503
3604,homo,R,Male,2.8,1,Dark,0,4.8,30,1815,1288,256604,147469,585,7567,1660,185703,578617,187249
3604,homo,R,Male,2.8,1,Dark,0,4.2,30,5594,6402,1264454,405458,1965,50971,8092,632804,2689888,537963
3604,homo,R,Male,2.8,1,Dark,0,4.5,30,6979,7520,854417,466369,1409,51860,9562,547945,2397690,625405
3604,homo,R,Male,2.8,1,Dark,0,7.35,30,3293,787,807398,153527,1069,25800,246,371674,1867433,61469
3604,homo,R,Male,2.8,0,Dark,0,3.75,30,4306,4354,558142,202203,1226,21356,6074,340525,1163667,261163
3604,homo,R,Male,2.8,1,Dark,0,2.85,30,8817,14034,1120199,683609,3238,40677,18103,777699,2150334,823095
3604,homo,R,Male,2.8,1,Dark,0,3.3,30,4880,4384,803304,231766,1192,21110,7309,438921,1463996,311137
3604,homo,R,Male,2.8,0,Dark,0,2.55,30,2287,3089,451237,168971,507,9823,4832,289762,776494,226005
3604,homo,R,Male,2.8,1,Dark,0,5.25,30,23806,2885,2877277,1116348,10685,47242,4701,2401745,10781305,1375917
3604,homo,R,Male,2.8,0,Dark,0,4.05,30,9907,2632,1030988,301130,3263,19176,3849,475929,1826245,388930
3604,homo,R,Male,2.8,1,Dark,0,5.55,30,6752,1324,726665,212849,2782,20920,1113,509222,1585287,302870
3604,homo,R,Male,2.8,0,Dark,0,2.4,30,2307,429,277170,56070,567,6600,454,163854,289411,66205
3604,homo,R,Male,2.8,1,Dark,0,4.95,30,10007,6805,1050621,558587,2433,77927,7526,746845,3004531,700155
3604,homo,R,Male,2.8,0,Dark,0,6.1499999999999995,30,5562,1284,702874,219403,1103,32547,961,447065,2124119,194336
