DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral,file_name
2006,het,L,Male,20.6,1,Light Flicker,0,5.7,30,96554,60393.0,1650682,703771.0,49895,564070.0,68318.0,917707,4086103.0,904357.0,2006L_GLUT1_647_WGA_594_040724_0001
2006,het,L,Male,20.6,0,Light Flicker,0,6.15,30,89091,34923.0,1139538,682684.0,44202,481762.0,46509.0,574072,3179938.0,886650.0,2006L_GLUT1_647_WGA_594_040724_0001
2006,het,L,Male,20.6,0,Light Flicker,0,2.4,30,882038,487805.0,612646,1088673.0,654340,1979941.0,675681.0,540552,1629936.0,2034071.0,2006L_GLUT1_647_WGA_594_040724_0001
2006,het,L,Male,20.6,0,Light Flicker,0,6.15,30,234653,97307.0,301832,844198.0,158839,1221416.0,68680.0,278822,2694260.0,584853.0,2006L_GLUT1_647_WGA_594_040724_0001
2006,het,L,Male,20.6,0,Light Flicker,0,4.65,30,135844,56705.0,1370555,1006672.0,78051,664447.0,79150.0,909941,4097076.0,1355650.0,2006L_GLUT1_647_WGA_594_040724_0001
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,30,102487,146155.0,304578,1080824.0,80215,785726.0,159108.0,255374,2766489.0,1483531.0,2006L_GLUT1_647_WGA_594_040724_0001
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,30,111575,61920.0,1399173,700203.0,75484,690444.0,81724.0,1066215,4443192.0,948013.0,2006L_GLUT1_647_WGA_594_040724_0001
2006,het,L,Male,20.6,0,Light Flicker,0,4.05,30,97127,36356.0,1299442,890863.0,71759,204809.0,67694.0,1010446,3274068.0,1183884.0,2006L_GLUT1_647_WGA_594_040724_0001
2006,het,L,Male,20.6,0,Light Flicker,0,4.35,30,64674,207184.0,1065806,2096300.0,57238,426973.0,481228.0,784839,6914282.0,2738901.0,2006L_GLUT1_647_WGA_594_040724_0001
2006,het,L,Male,20.6,0,Light Flicker,0,6.3,30,926355,285770.0,2057309,1992510.0,756324,5362921.0,190959.0,1529880,11136701.0,1436761.0,2006L_GLUT1_647_WGA_594_040724_0001
2006,het,L,Male,20.6,0,Light Flicker,0,2.4,30,306024,1129848.0,2831923,4752052.0,409911,1636332.0,2071734.0,5520083,9026805.0,6693410.0,2006L_GLUT1_647_WGA_594_040724_0001
