DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
2006,het,L,Male,20.6,1,Light Flicker,0,5.7,98619,59933,1643373,695810,50703,559124,67533,913240,4146354,893323
2006,het,L,Male,20.6,0,Light Flicker,0,6.1499999999999995,78437,31174,1003059,605490,38988,427537,41197,506593,2704874,792020
2006,het,L,Male,20.6,1,Light Flicker,0,5.55,263247,106138,2668795,1697838,145448,1455354,116580,1633233,7200429,2112107
2006,het,L,Male,20.6,1,Light Flicker,0,5.3999999999999995,662365,209650,3521146,2699267,433298,2684575,239977,2376328,9892941,3475452
2006,het,L,Male,20.6,0,Light Flicker,1,4.35,853687,276093,623797,1998485,636068,2764715,379856,546227,4692050,2741074
2006,het,L,Male,20.6,1,Light Flicker,0,5.3999999999999995,112657,55050,1795091,802372,53662,634608,65158,879517,4345607,1005348
2006,het,L,Male,20.6,0,Light Flicker,0,6.1499999999999995,69333,20495,1162881,512822,40676,205656,32612,728897,3062644,670954
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,75640,32815,1153000,604285,42276,299217,44442,700845,2597086,807582
2006,het,L,Male,20.6,0,Light Flicker,0,5.55,229699,81067,2181043,1389327,155664,962002,96547,1524590,5798870,1784447
2006,het,L,Male,20.6,0,Light Flicker,1,6.0,215933,98101,287125,822310,147871,1097066,81441,266857,2441353,683082
2006,het,L,Male,20.6,0,Light Flicker,1,4.95,701306,444050,919606,2623415,503273,3578083,560727,775584,7912326,3702221
2006,het,L,Male,20.6,0,Light Flicker,0,4.35,252217,73882,2533411,1796705,178438,528779,132779,1779801,8189951,2407132
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,132559,73506,1844497,814267,90179,853778,96504,1382510,6046922,1104277
2006,het,L,Male,20.6,0,Light Flicker,0,5.55,219448,70693,1769065,1257646,157416,1031198,86804,1372889,4765381,1625161
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,50536,48562,895762,558675,32721,316948,62465,673173,2843374,760705
2006,het,L,Male,20.6,0,Light Flicker,0,4.2,139560,53887,1722678,1115696,104273,313168,101311,1342679,4533440,1472826
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,149006,71221,1373295,1050328,104129,647304,84425,909945,4181345,1416942
2006,het,L,Male,20.6,0,Light Flicker,0,4.35,69542,223030,1122139,2193425,59952,491018,508751,818776,7287749,2903237
2006,het,L,Male,20.6,0,Light Flicker,0,6.75,127670,76201,1667391,1067829,82799,1083534,33736,1260098,9016036,547420
2006,het,L,Male,20.6,0,Light Flicker,0,6.3,1147497,366983,2448997,2568267,898195,7024618,241638,1818231,15751723,1823984
2006,het,L,Male,20.6,0,Light Flicker,0,4.05,258109,1224764,4766902,5236830,340170,2211750,2324677,5184339,17616114,7396988
2006,het,L,Male,20.6,0,Light Flicker,0,3.75,302126,1264753,5600361,5124189,332120,2416927,2538667,5117722,17925435,6588550
2006,het,L,Male,20.6,0,Light Flicker,0,5.85,82688,52188,1143254,578801,83601,681419,17920,1346921,4638495,241596
2006,het,L,Male,20.6,0,Light Flicker,0,6.0,184990,23885,1388062,568642,187643,517377,9833,1590861,5509256,228741
2006,het,L,Male,20.6,0,Light Flicker,0,3.4499999999999997,63221,232649,1214839,5861566,15844,536220,446064,321142,14014472,7670097
2006,het,L,Male,20.6,0,Light Flicker,0,3.75,33814,153288,687730,3725171,8480,379122,285720,185679,10415344,4180733
2006,het,L,Male,20.6,0,Light Flicker,1,6.1499999999999995,1118365,215022,538314,1527251,776415,4346983,141737,451278,4615070,1081606
2006,het,L,Male,20.6,0,Light Flicker,0,3.3,299359,59007,2217089,1041852,584797,526705,100242,3098149,5192258,1438225
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,80062,283033,1213982,1439079,62916,591354,268785,833842,6333337,1660380
2006,het,L,Male,20.6,0,Light Flicker,0,5.3999999999999995,37405,431543,169200,2935526,10921,1395831,672348,60730,10349582,3384999
2006,het,L,Male,20.6,0,Light Flicker,0,3.3,22480,186358,475575,4166687,5971,342391,391742,139784,8455502,5778601
2006,het,L,Male,20.6,0,Light Flicker,0,6.75,112607,52316,1371389,697826,63318,665485,25025,886816,6625646,353183
2006,het,L,Male,20.6,0,Light Flicker,1,5.3999999999999995,1192407,281470,877495,2561411,830171,4998351,349668,751240,7499806,3536565
2006,het,L,Male,20.6,1,Light Flicker,0,5.3999999999999995,238677,118879,1780031,1076844,128659,1419097,130577,1110271,5289401,1369581
2006,het,L,Male,20.6,0,Light Flicker,1,5.55,1254012,361569,1816052,2684217,1062302,5119729,346470,1433087,11574058,2897301
2006,het,L,Male,20.6,1,Light Flicker,1,4.2,1858839,543821,780581,3157809,1290912,5509308,605999,633261,7214049,4194035
2006,het,L,Male,20.6,0,Light Flicker,0,3.4499999999999997,68610,24181,419471,356045,35528,169708,43885,269009,1411633,470865
2006,het,L,Male,20.6,0,Light Flicker,0,5.55,320860,146526,1671079,961600,157605,1902818,173748,1133146,4184363,1320500
2006,het,L,Male,20.6,0,Light Flicker,1,4.35,600542,128088,887128,1127548,360842,1678171,148849,727087,4100805,1442418
2006,het,L,Male,20.6,0,Light Flicker,1,4.95,1056257,192412,774033,1473273,719456,3014530,205260,626404,5281921,1887787
2006,het,L,Male,20.6,0,Light Flicker,0,4.35,725479,278031,1413385,1739650,350053,2990321,342166,825240,5981030,2400467
2006,het,L,Male,20.6,0,Light Flicker,1,5.1,1237239,192930,1175728,1837832,1261194,3229661,212257,1136159,5542901,2012532
2006,het,L,Male,20.6,0,Light Flicker,1,6.3,505747,74413,614286,627572,298596,1658196,53929,415258,3157269,438643
2006,het,L,Male,20.6,0,Light Flicker,0,6.6,1049453,205421,2894464,1558656,502575,4795757,89894,1852684,8902516,782398
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,362159,75728,653387,589967,178341,1174925,75472,416494,2108696,731153
2006,het,L,Male,20.6,0,Light Flicker,0,6.3,968885,306773,2530618,2610684,477140,5614531,213948,1392944,10024707,1803808
2006,het,L,Male,20.6,0,Light Flicker,0,5.3999999999999995,767857,286113,2275490,1934078,417262,4181817,343438,1441704,7576310,2587873
2006,het,L,Male,20.6,1,Light Flicker,0,5.85,159249,64679,1500854,806083,80890,665094,72333,931483,4047968,956725
2006,het,L,Male,20.6,0,Light Flicker,1,4.2,425109,240094,356708,1253116,272949,1959932,246411,336220,3146343,1612661
2006,het,L,Male,20.6,0,Light Flicker,1,4.2,859052,339275,793681,1829905,471288,3552272,339937,575158,5612331,2354146
2006,het,L,Male,20.6,1,Light Flicker,1,4.95,1794151,558133,972056,2778484,1050144,8001204,608765,790739,7786651,4000074
2006,het,L,Male,20.6,1,Light Flicker,0,4.8,434104,183934,2050793,1315032,184935,2179074,162338,1102035,6070808,1657417
2006,het,L,Male,20.6,1,Light Flicker,0,5.25,27299,26338,524992,264760,16238,189146,27678,403089,1245630,354934
2006,het,L,Male,20.6,0,Light Flicker,0,4.2,280049,122650,314030,775791,474728,944363,55472,424594,2873805,385874
2006,het,L,Male,20.6,0,Light Flicker,1,4.8,679653,237308,489325,1814805,444395,2666788,296852,421590,5097000,2451493
2006,het,L,Male,20.6,0,Light Flicker,0,5.25,63404,31753,896680,501614,32085,306225,39893,630430,2326884,689428
2006,het,L,Male,20.6,0,Light Flicker,0,5.3999999999999995,529351,178739,1087259,1092653,222464,2891006,187086,579068,3942319,1460315
2006,het,L,Male,20.6,0,Light Flicker,0,5.3999999999999995,727152,266696,464964,1504022,397562,3271764,332671,364346,4067400,1919688
2006,het,L,Male,20.6,0,Light Flicker,0,5.25,44176,18196,754429,449539,20968,153527,25302,473589,2137447,578532
2006,het,L,Male,20.6,0,Light Flicker,0,5.25,434108,170863,1628793,1222043,195623,2625641,188237,1029792,4468667,1671554
2006,het,L,Male,20.6,1,Light Flicker,1,4.6499999999999995,2075863,1310916,1036835,3197651,1495430,8873378,1577972,881636,7664831,4419478
2006,het,L,Male,20.6,0,Light Flicker,1,3.9,603373,590658,457530,1792537,361569,2815994,641823,400008,3721300,2478736
2006,het,L,Male,20.6,0,Light Flicker,0,4.35,411846,357982,1046881,1460671,201092,2290574,339964,621864,4289057,1926763
2006,het,L,Male,20.6,0,Light Flicker,1,5.25,591329,432511,582399,1424014,344347,2698056,499665,431937,3600629,1794620
2006,het,L,Male,20.6,0,Light Flicker,0,4.95,109569,86546,1612208,951544,49741,571761,106452,890917,4417871,1306247
2006,het,L,Male,20.6,1,Light Flicker,0,5.25,229800,157868,2117434,1374941,105359,1665081,157007,1192979,6408698,1830972
2006,het,L,Male,20.6,0,Light Flicker,0,5.3999999999999995,72913,34266,990766,511763,36148,366819,44061,647357,2520484,680349
2006,het,L,Male,20.6,0,Light Flicker,0,3.5999999999999996,146527,68112,2715321,1616391,134754,381065,86403,2482010,5166107,2064468
2006,het,L,Male,20.6,0,Light Flicker,0,4.95,132616,34366,2383919,825624,122693,320324,46918,2099896,4256172,1041648
2006,het,L,Male,20.6,1,Light Flicker,0,4.2,51951,19471,1087973,532726,46086,148562,26375,919867,2309349,696216
2006,het,L,Male,20.6,0,Light Flicker,0,4.5,167155,62543,2616986,1447553,134322,460061,84649,2003149,6042627,1883196
2006,het,L,Male,20.6,0,Light Flicker,0,3.5999999999999996,68104,48098,1306109,967112,49379,266379,63300,899358,2534541,1326869
2006,het,L,Male,20.6,1,Light Flicker,0,5.55,103682,42033,2031231,1364971,79591,304680,60256,1528724,5763500,1718988
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,74698,48013,1873060,1215370,60483,445795,62835,1385772,4854083,1505245
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,110638,36718,2243004,952978,94933,298607,54686,1771548,5102420,1275553
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,175899,74798,2642969,1753635,129270,621264,99720,1887347,7207932,2335710
2006,het,L,Male,20.6,0,Light Flicker,0,3.75,141691,83144,2508162,1980891,97196,658129,106632,1645122,5600578,2631221
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,81304,32035,1973376,967073,67715,280913,46990,1558977,4932777,1215589
2006,het,L,Male,20.6,0,Light Flicker,0,3.75,228842,96650,4560798,2105836,199315,633038,124976,3676646,8966406,2752874
2006,het,L,Male,20.6,0,Light Flicker,0,4.2,147418,72994,2461239,1491603,121550,546463,98124,1895172,4911367,2060585
2006,het,L,Male,20.6,0,Light Flicker,0,3.9,277460,151755,4345826,3248249,189961,989136,188900,2929053,10979840,4281693
2006,het,L,Male,20.6,1,Light Flicker,0,3.15,261798,154098,3590333,2743982,182404,912695,186051,2696858,6577222,3638169
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,92651,37425,1970728,1094167,83409,322363,55327,1729126,6033373,1377684
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,98891,36659,2012680,886779,79578,304732,51188,1510419,4716523,1165048
2006,het,L,Male,20.6,0,Light Flicker,0,5.55,280262,40645,2090360,1098526,234980,564403,54621,1454863,5344965,1365128
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,70954,20643,1156240,731793,48683,217321,29325,741760,4050618,899478
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,124798,66291,2296605,1454686,90959,558602,89779,1741956,5535038,1897064
2006,het,L,Male,20.6,0,Light Flicker,0,4.05,142815,69929,2809190,1536469,112579,483778,88034,2043172,6385816,1985906
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,47280,17897,1077314,505526,40374,125284,24986,841507,2582025,631712
2006,het,L,Male,20.6,0,Light Flicker,0,4.2,120763,42744,2117714,1096410,92611,309091,59488,1631351,4480408,1470746
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,174557,68363,2944533,1604186,114649,678569,89735,1870152,8171311,2020357
2006,het,L,Male,20.6,1,Light Flicker,0,4.2,448351,194397,4841787,3365345,273855,2054219,237298,3168464,11541084,4355006
2006,het,L,Male,20.6,0,Light Flicker,0,3.5999999999999996,107006,50805,2204844,1019861,87260,316289,65957,1797150,4067567,1355919
2006,het,L,Male,20.6,0,Light Flicker,0,3.5999999999999996,338392,118138,3914150,2121776,240755,870946,144796,2906563,7763047,2762321
2006,het,L,Male,20.6,0,Light Flicker,0,5.25,179698,71890,2903101,1553112,121238,744609,89847,2084905,7662418,1953015
2006,het,L,Male,20.6,1,Light Flicker,0,4.35,259451,67237,3037179,1329308,167824,689087,86879,1977580,6317377,1781596
2006,het,L,Male,20.6,1,Light Flicker,0,4.6499999999999995,145910,43001,1862306,859237,98078,414292,57065,1277554,4216800,1125456
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,158598,50706,2945903,1295107,112552,623080,71456,2124827,7158259,1714506
2006,het,L,Male,20.6,1,Light Flicker,0,3.3,759920,282758,2500137,2432013,443207,2491405,307181,1645892,6101018,3275526
2006,het,L,Male,20.6,0,Light Flicker,0,5.3999999999999995,240338,107806,3235792,1568712,156558,1130560,137776,2465261,7561198,2158783
