DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral,file_name
3603,het,L,Male,3.0,0,Light Flicker,0,3.75,90,3184,821.0,139673,54919.0,794,14866.0,490.0,88639,296237.0,80586.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,1.95,90,8606,5937.0,190966,93278.0,2150,22714.0,8227.0,138168,253197.0,154789.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,2.55,90,14177,6742.0,360617,231531.0,4002,39828.0,7378.0,241663,719761.0,354142.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,4.05,90,6762,1096.0,293783,145688.0,1389,24357.0,486.0,179458,910870.0,196773.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,4.05,90,2791,1513.0,125655,52439.0,1027,24868.0,701.0,89147,289750.0,74709.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,3.0,90,10574,8001.0,345624,198119.0,2221,47261.0,8972.0,186857,805286.0,289851.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,4.05,90,1840,581.0,103081,49842.0,269,10052.0,215.0,62440,248317.0,71904.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,5920,3082.0,166124,70635.0,891,31543.0,2398.0,111393,343130.0,112460.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,3.3,90,7613,2646.0,177320,87092.0,1812,29580.0,2169.0,118759,367974.0,129357.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,3.15,90,11600,2580.0,260825,120051.0,2314,39606.0,2920.0,168809,597612.0,188013.0,3603L_GLUT1_WGA_0001
3603,het,L,Male,3.0,0,Light Flicker,0,4.05,90,5286,1400.0,107059,35857.0,1280,25862.0,652.0,74396,226958.0,56561.0,3603L_GLUT1_WGA_0001
