DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
3607,het,R,Male,3.0,1,Light Flicker,0,4.35,60,94,59,68087,38745,21,766,12,49822,164622,50682
3607,het,R,Male,3.0,0,Light Flicker,0,2.55,60,0,5,946,42602,0,0,5,331,30177,34397
3607,het,R,Male,3.0,1,Light Flicker,0,2.55,60,0,128,7240,334057,0,38,160,2275,238431,289357
3607,het,R,Male,3.0,0,Light Flicker,0,4.8,60,120,14,113963,40517,43,294,10,84070,244656,53800
3607,het,R,Male,3.0,0,Light Flicker,0,2.55,60,0,1155,1876,83679,0,764,1039,620,56826,94843
3607,het,R,Male,3.0,1,Light Flicker,0,2.4,60,102,392,152645,74691,12,782,934,99350,241630,98426
3607,het,R,Male,3.0,1,Light Flicker,0,2.4,60,0,201,5017,251097,0,44,382,1555,140447,257451
3607,het,R,Male,3.0,1,Light Flicker,0,3.0,60,129,340,172669,61030,14,1412,498,131230,318313,85630
3607,het,R,Male,3.0,1,Light Flicker,0,2.4,60,0,166,5322,265023,0,24,551,1644,144701,279431
3607,het,R,Male,3.0,1,Light Flicker,0,2.4,60,273,82,326014,155546,39,613,183,251148,568256,207131
3607,het,R,Male,3.0,0,Light Flicker,0,6.0,60,139,0,49796,9696,74,117,0,39551,97909,3987
3607,het,R,Male,3.0,0,Light Flicker,0,2.6999999999999997,60,166,168,149839,69756,35,621,131,119612,276336,79848
3607,het,R,Male,3.0,1,Light Flicker,0,4.8,60,93,117,64718,29878,17,409,28,45478,129255,39538
3607,het,R,Male,3.0,1,Light Flicker,0,2.85,60,317,1237,227505,105466,60,1917,1928,186640,389883,140236
3608,het,R,Male,3.0,0,Light Flicker,0,6.45,30,90246,4341,2091737,258182,50120,434456,4219,1446883,5717829,214402
3608,het,R,Male,3.0,0,Light Flicker,0,6.0,30,171861,3960,1582411,190947,103689,468882,5703,1113322,3888302,232822
3608,het,R,Male,3.0,1,Light Flicker,0,6.0,30,168663,9673,3678660,421180,89117,847262,11651,2479369,9390939,505973
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,182330,71348,1598890,525118,101569,472779,66518,1027757,2305572,633745
3608,het,R,Male,3.0,0,Light Flicker,0,6.3,30,59800,2301,1320455,149015,33608,250106,1963,1045542,3399650,122288
3608,het,R,Male,3.0,0,Light Flicker,0,5.85,30,79044,2323,1513154,170272,46201,294775,2054,1157448,3664100,199839
3608,het,R,Male,3.0,0,Light Flicker,0,2.85,30,33467,17500,373982,101962,18739,121652,16593,248057,505064,119274
3608,het,R,Male,3.0,0,Light Flicker,0,5.7,30,139223,3692,1637945,189720,97065,408482,3940,1460529,4064350,225926
3608,het,R,Male,3.0,0,Light Flicker,0,2.6999999999999997,30,57762,51156,1105720,412378,29530,274463,44943,723057,1755915,509557
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30,202867,95261,2191569,849242,120219,446179,91780,1731240,3009363,1067846
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30,55598,66416,943541,499641,31189,223808,54513,694296,1318489,601070
3608,het,R,Male,3.0,1,Light Flicker,0,6.45,30,187556,4628,2536168,281826,107534,626600,3465,1959336,6542432,197156
3608,het,R,Male,3.0,0,Light Flicker,0,5.85,30,74561,2468,1169045,154814,46094,279423,3192,932950,2840151,188032
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30,48835,45664,1170233,586480,28241,161876,45797,942561,1603806,690331
3608,het,R,Male,3.0,0,Light Flicker,0,5.85,30,141869,4710,1973485,260667,84222,598974,5636,1499059,5406088,318303
3608,het,R,Male,3.0,0,Light Flicker,0,2.6999999999999997,30,45060,36839,1326643,553878,27302,174498,36515,993290,1995747,680342
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30,50113,51051,1082616,597561,28562,184043,46286,829428,1653508,741095
3608,het,R,Male,3.0,0,Light Flicker,0,6.3,30,10571,290,231651,27145,6099,50153,191,204157,639144,18578
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30,92546,115618,2111626,971978,48211,376618,102089,1468476,3350167,1220393
3608,het,R,Male,3.0,0,Light Flicker,0,2.6999999999999997,30,67443,75072,1540898,781990,34149,343767,76171,1082052,2656695,959674
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30,50920,22748,676534,381899,39594,54029,38840,531336,1018060,442944
3608,het,R,Male,3.0,0,Light Flicker,0,6.6,30,57792,1083,1181505,116316,36484,255056,441,1013712,3180828,56559
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,48777,42606,1181967,552326,26344,201971,40620,849930,1776086,671130
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30,52713,77547,1137280,521587,30808,246826,64702,953283,1518353,634993
3608,het,R,Male,3.0,0,Light Flicker,0,6.1499999999999995,30,155515,3584,1260587,158588,98418,404097,3089,1093202,3096923,128618
3608,het,R,Male,3.0,0,Light Flicker,0,3.15,30,67224,28582,854819,290740,43873,175755,29442,712875,1246594,383732
3608,het,R,Male,3.0,1,Light Flicker,0,6.6,30,155249,3736,2516127,232460,93155,669110,1429,2113374,7007315,112941
3608,het,R,Male,3.0,0,Light Flicker,0,5.55,30,111684,5857,1882917,248098,69073,516709,6143,1725663,4760318,292089
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,119378,67868,1419163,644729,75449,288989,66108,1124747,2149712,829126
