DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral,file_name
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,2192.0,,21988.0,,824.0,,,8176.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,1,Light Flicker,0,,60.0,2397.0,,36843.0,,315.0,,,14594.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,2482.0,,33798.0,,542.0,,,15583.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,7753.0,,26019.0,,5272.0,,,12489.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,2122.0,,22597.0,,367.0,,,11569.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,1029.0,,20948.0,,89.0,,,11290.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,2041.0,,25531.0,,597.0,,,13507.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,17522.0,,47404.0,,13747.0,,,26619.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,1869.0,,31369.0,,801.0,,,14350.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,5238.0,,7443.0,,2777.0,,,6139.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,475.0,,16222.0,,45.0,,,7016.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,1505.0,,34306.0,,191.0,,,18644.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,1,Light Flicker,0,,60.0,1838.0,,36827.0,,434.0,,,21268.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,3503.0,,46463.0,,1222.0,,,30047.0,,,3607R_GLUT1_WGA_0001
3607,het,R,Male,3.0,0,Light Flicker,0,,60.0,2103.0,,39255.0,,411.0,,,20960.0,,,3607R_GLUT1_WGA_0001
