DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
3558,homo,R0,Female,2.3,0,Dark,0,2.6999999999999997,30,78184,24749,470591,629091,28532,149133,25028,207699,1241794,826803
3558,homo,R0,Female,2.3,1,Dark,0,3.3,30,201447,55509,1102129,1375655,73616,447157,46381,476337,3756062,1701032
3558,homo,R0,Female,2.3,1,Dark,0,2.4,30,141299,79050,927462,1332867,38832,389447,62783,371556,2460072,1622103
3558,homo,R0,Female,2.3,1,Dark,0,2.4,30,105861,34719,469999,533231,31161,208851,33875,181636,1109259,699924
3558,homo,R0,Female,2.3,0,Dark,0,2.25,30,42361,34955,356410,477999,13331,97335,33553,136221,922565,575237
3558,homo,R0,Female,2.3,1,Dark,0,2.25,30,240382,129559,2026795,1934662,113401,461999,115741,1045837,4355468,2359750
3558,homo,R0,Female,2.3,1,Dark,0,2.25,30,315212,120327,1287540,1230717,123104,479123,116295,661208,2555370,1506744
3558,homo,R0,Female,2.3,1,Dark,0,3.0,30,196637,31319,704629,577026,84481,275635,28494,361681,1485037,734357
3558,homo,R0,Female,2.3,1,Dark,0,2.6999999999999997,30,378462,75783,1729646,1374298,195451,429552,66709,942944,3747321,1652226
3558,homo,R0,Female,2.3,0,Dark,0,2.25,30,128559,43242,504477,623135,42513,172629,42256,200293,1124652,745790
3558,homo,R0,Female,2.3,1,Dark,0,2.25,30,202862,66487,799070,1359174,86473,322208,57483,384640,2228407,1686399
3558,homo,R0,Female,2.3,1,Dark,0,2.4,30,586206,115752,1327342,1610499,191256,991514,93958,557125,3281853,1954147
3558,homo,R0,Female,2.3,1,Dark,0,2.85,30,96515,33772,676099,704824,24760,214729,31347,258273,1889918,842377
