DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral,file_name
3558,homo,R0,Female,2.3,1,Light Flicker,0,1.65,30.0,274161.0,62489.0,891445.0,1228659.0,133831.0,319225.0,51193.0,513768.0,1886160.0,1845299.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,0,Light Flicker,0,,30.0,,34975.0,,695634.0,,,28382.0,,,1010165.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,1.65,30.0,95400.0,69968.0,985927.0,1601978.0,43351.0,167388.0,73880.0,605314.0,2373954.0,2482770.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,2.4,30.0,237277.0,45940.0,876008.0,1043940.0,132476.0,304721.0,45255.0,577655.0,2327646.0,1288611.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,2.55,30.0,191554.0,49092.0,1152058.0,1329145.0,90679.0,317555.0,42853.0,717938.0,3266380.0,1653107.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,2.1,30.0,209674.0,45931.0,1195467.0,1040217.0,103581.0,262687.0,43492.0,750307.0,2373240.0,1497262.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,1.95,30.0,477201.0,132865.0,3297262.0,2838323.0,202625.0,678561.0,146246.0,2006171.0,6542209.0,4414364.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,0,Light Flicker,0,2.55,30.0,187546.0,47053.0,860823.0,817590.0,83914.0,248526.0,38616.0,495134.0,2057559.0,867499.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,2.25,30.0,92987.0,44578.0,878374.0,944216.0,27198.0,182786.0,47765.0,446339.0,2156817.0,1422619.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,0,Light Flicker,0,2.25,30.0,161906.0,77451.0,1116850.0,1234914.0,51318.0,319378.0,80746.0,538862.0,2847302.0,1835820.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,1,1.95,30.0,541016.0,190515.0,3406633.0,3269800.0,187456.0,967921.0,188772.0,1785336.0,7386941.0,4822894.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,1.7999999999999998,30.0,87579.0,35338.0,423654.0,791162.0,44514.0,123335.0,30644.0,245233.0,1185700.0,1110351.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,2.6999999999999997,30.0,137467.0,62428.0,1055628.0,965433.0,47105.0,335463.0,46487.0,644867.0,2822876.0,912306.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,2.25,30.0,333465.0,63081.0,1323354.0,1391843.0,136179.0,429249.0,82115.0,818527.0,3123410.0,1914578.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,2.85,30.0,198992.0,27475.0,883490.0,782363.0,67275.0,314086.0,22344.0,451700.0,2327203.0,733214.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,2.55,30.0,120450.0,45248.0,881337.0,776412.0,43079.0,259369.0,38271.0,499541.0,2015777.0,915982.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,0,Light Flicker,0,3.3,30.0,74711.0,31518.0,546229.0,529488.0,18076.0,199855.0,13751.0,260049.0,1694738.0,274406.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,0,Light Flicker,1,3.0,30.0,147042.0,35777.0,792217.0,719444.0,46568.0,256043.0,23941.0,397804.0,2136209.0,570819.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,1.95,30.0,330626.0,120326.0,1170361.0,2058177.0,199731.0,485411.0,118700.0,789379.0,3572118.0,3037435.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,0,Light Flicker,0,3.0,30.0,110916.0,50457.0,729410.0,633814.0,33283.0,301099.0,33485.0,342779.0,1900150.0,515163.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,0,Light Flicker,0,2.85,30.0,123834.0,40644.0,760804.0,657912.0,53150.0,186096.0,25206.0,458314.0,1926460.0,518003.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,2.6999999999999997,30.0,134140.0,30173.0,578981.0,572366.0,53266.0,193819.0,21923.0,327918.0,1477675.0,524973.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,0,Light Flicker,0,2.55,30.0,37436.0,28341.0,454948.0,469344.0,10677.0,88517.0,21865.0,283201.0,1037578.0,474377.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,,30.0,,155256.0,,2418531.0,,,148324.0,,,3622012.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,0,Light Flicker,0,2.4,30.0,232846.0,59898.0,1440492.0,1416278.0,74266.0,336070.0,71354.0,718121.0,3771276.0,1861074.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,2.25,30.0,128007.0,39674.0,744020.0,808770.0,63438.0,197375.0,39981.0,489010.0,1688298.0,1247475.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,1,2.6999999999999997,30.0,286638.0,49260.0,881534.0,865906.0,109670.0,448266.0,32052.0,518635.0,2278376.0,778522.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,,30.0,,33190.0,,569688.0,,,31136.0,,,872596.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,2.55,30.0,110707.0,37654.0,642106.0,671250.0,28616.0,227741.0,36062.0,302142.0,1766170.0,807367.0,3558R0_GLUT1_WGA_0002
3558,homo,R0,Female,2.3,1,Light Flicker,0,2.1,30.0,257106.0,92100.0,1286136.0,1137402.0,76633.0,537263.0,84300.0,611232.0,2768698.0,1615425.0,3558R0_GLUT1_WGA_0002
