DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral,file_name
3604,homo,R,Male,2.8,1,Dark,0,,30,1951.0,,861058.0,,486.0,,,549241.0,,,3604R_GLUT1_WGA_0001
3604,homo,R,Male,2.8,1,Dark,0,,30,3400.0,,815442.0,,1228.0,,,520606.0,,,3604R_GLUT1_WGA_0001
3604,homo,R,Male,2.8,1,Dark,0,5.55,30,5141.0,1738.0,969221.0,328135.0,1595.0,25514.0,1895.0,480988.0,2569341.0,486597.0,3604R_GLUT1_WGA_0001
3604,homo,R,Male,2.8,0,Dark,0,,30,,374.0,,55897.0,,,203.0,,,90433.0,3604R_GLUT1_WGA_0001
3604,homo,R,Male,2.8,0,Dark,0,4.8,30,4726.0,3451.0,899635.0,372196.0,1549.0,16368.0,2452.0,359102.0,2170974.0,533661.0,3604R_GLUT1_WGA_0001
3604,homo,R,Male,2.8,0,Dark,0,,30,,468.0,,162233.0,,,459.0,,,255896.0,3604R_GLUT1_WGA_0001
3604,homo,R,Male,2.8,1,Dark,0,,30,2192.0,,671069.0,,552.0,,,446687.0,,,3604R_GLUT1_WGA_0001
3604,homo,R,Male,2.8,1,Dark,0,,30,,549.0,,291943.0,,,523.0,,,413048.0,3604R_GLUT1_WGA_0001
3604,homo,R,Male,2.8,0,Dark,0,5.3999999999999995,30,7238.0,1971.0,1075261.0,290722.0,3155.0,31884.0,2083.0,770078.0,2689559.0,476195.0,3604R_GLUT1_WGA_0001
3604,homo,R,Male,2.8,0,Dark,0,6.3,30,3471.0,236.0,781831.0,225993.0,887.0,14280.0,163.0,292986.0,2168504.0,355224.0,3604R_GLUT1_WGA_0001
3604,homo,R,Male,2.8,1,Dark,0,,30,,6291.0,,553565.0,,,5627.0,,,935834.0,3604R_GLUT1_WGA_0001
3604,homo,R,Male,2.8,0,Dark,0,,30,2412.0,,595058.0,,707.0,,,279097.0,,,3604R_GLUT1_WGA_0001
3604,homo,R,Male,2.8,0,Dark,0,6.1499999999999995,30,411.0,149.0,134886.0,60551.0,79.0,2881.0,162.0,34513.0,416209.0,97504.0,3604R_GLUT1_WGA_0001
