DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral,file_name
3606,homo,R,Male,2.8,0,Light Flicker,0,3.15,90,1479,536,76754,74016,505,5809,663,39953,208316,101180,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.0,90,16347,3372,458159,400865,4751,52233,2531,235829,1246983,536063,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.9,90,9884,821,350610,236274,3134,32947,605,227705,1038931,287946,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.15,90,5283,1610,284907,256255,1770,17525,1156,163510,827430,346459,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.3,90,5946,2724,245853,216915,1202,29066,2288,126923,670694,291722,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.05,90,4090,1934,210182,207983,801,28133,1156,108756,757174,263362,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,2.6999999999999997,90,15214,8403,376630,323680,4457,71028,6706,202875,889977,445611,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.0,90,5337,1698,255003,204497,1767,15935,1807,160829,676050,288204,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.4499999999999997,90,11075,1781,416883,345829,4058,27596,1761,259535,1225168,461761,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.5999999999999996,90,7083,1615,199708,158119,2701,23867,1132,113009,514432,193519,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.8,90,3476,169,147072,113933,1332,4843,239,79814,493959,153131,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.9,90,7554,438,203595,157461,2769,19424,213,119339,641965,207435,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.75,90,6603,1156,226363,198539,1819,24418,704,119430,692144,247632,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.75,90,5498,3172,188142,186366,1142,36623,1683,79193,583573,233643,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.75,90,6001,1055,216260,183943,2725,22164,660,132620,663872,232495,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,2.25,90,11876,7619,311537,318833,4851,25376,13436,172872,704616,426925,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.2,90,7467,1173,143190,121388,2200,23551,764,60890,481948,150007,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.05,90,10718,854,256491,182870,4059,28687,476,171501,802809,231408,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,1,Light Flicker,0,3.75,90,15301,2766,376180,308721,4524,52158,2163,207365,1196400,384860,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.3,90,18126,5846,372918,355098,6241,65943,4726,210968,1073507,464647,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.75,90,9159,469,239432,191911,2939,17733,444,137613,782048,241966,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.05,90,5680,791,83115,78458,1524,21785,634,35831,272524,95481,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,1,Light Flicker,0,4.8,90,11086,554,237506,155691,3821,32630,368,128834,958638,193407,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.05,90,5918,1071,136078,129871,1675,24435,627,59988,462382,149770,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.6499999999999995,90,15080,1061,250038,163978,5886,44051,787,140490,820713,204886,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,1,Light Flicker,0,3.15,90,16873,2869,363832,245972,5882,50016,2549,187642,1017745,346305,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.75,90,27247,3060,381218,246527,8878,74710,2681,172593,1123258,329145,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.2,90,27773,1849,512909,448071,9265,78566,1664,273339,1989003,572352,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.75,90,35373,3650,352055,229268,12633,86543,2757,159246,1018698,312097,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.8,90,10426,180,208666,117553,2863,29649,193,92041,705911,152889,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.5999999999999996,90,19592,6043,486422,468770,7604,70804,5067,319028,1653108,609320,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.0,90,8571,3429,411355,446733,3291,20459,3350,259854,1197157,608370,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.2,90,13267,1182,260179,169129,4690,39032,621,143426,858759,227262,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.95,90,11237,332,212158,123892,2979,38727,216,92096,772411,157715,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.05,90,7949,772,199057,130592,3254,20027,432,125352,653614,177274,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.05,90,32542,3106,413072,261236,9439,101167,1639,188019,1293348,326348,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.05,90,36205,1828,430967,290541,12660,93300,1401,197433,1324672,358745,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,1,Light Flicker,0,2.6999999999999997,90,29784,6229,372037,309704,9486,73611,5865,171263,918910,427895,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.95,90,6809,163,140059,95184,2371,15941,114,91274,469661,114922,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,5.55,90,7797,164,124558,65531,2648,25229,54,70653,490860,84076,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.5,90,10547,894,175467,102556,3835,31126,524,103209,492494,128583,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.35,90,16995,1758,263649,131233,5097,55609,1127,122591,746830,169593,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.05,90,16100,3922,289939,243083,4083,73017,2932,128306,1013357,313283,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.5,90,11926,722,271642,227517,3405,35233,627,143598,989352,285745,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.5999999999999996,90,13709,5390,225985,199579,4026,61064,3973,99498,684811,266966,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.0,90,10669,2163,207428,163035,3335,29302,1783,96605,507572,228948,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.3,90,13983,4270,385232,259755,4439,38693,4270,166163,1119400,345722,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.0,90,6625,4567,457266,303489,5151,4984,8432,270813,935428,407126,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.3,90,23522,4917,243370,197950,7239,70413,4034,116988,609659,270183,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.8,90,13871,686,234942,174492,4627,43786,437,129912,865823,212619,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.05,90,12872,1417,199726,132590,4636,33459,1004,94274,589182,157344,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.8,90,14107,510,195829,160106,6071,27854,285,104053,719888,197496,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.2,90,13011,1602,198627,113514,3916,35794,1021,89983,579323,150647,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,2.55,90,35686,11714,1234076,796307,25620,30377,24838,706663,2595319,1099355,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.3,90,9354,4352,201113,229681,1774,51730,2868,71178,672656,284300,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.5,90,4282,462,111017,72021,2120,3065,752,49703,346303,86808,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.9,90,10956,1762,191213,168301,2376,38863,1228,66589,671300,216888,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,1,Light Flicker,0,4.35,90,21575,2920,289200,235163,4403,83678,2318,100470,1225667,309446,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.5,90,15579,976,390103,268528,4522,49510,1182,169603,1422206,352615,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.8,90,20973,1013,217168,143365,7567,60682,575,100312,781168,177933,3606R_GLUT1_WGA_0001
