DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral,file_name
3606,homo,R,Male,2.8,0,Light Flicker,0,3.15,90.0,3846.0,1380.0,206402.0,155735.0,1053.0,16521.0,936.0,120760.0,558791.0,249478.0,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.0,90.0,9367.0,2127.0,172764.0,139195.0,3347.0,23895.0,1954.0,91387.0,408012.0,216195.0,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,4.05,90.0,4445.0,1248.0,113585.0,98334.0,1419.0,20176.0,660.0,60619.0,384826.0,135890.0,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.75,90.0,1103.0,438.0,61451.0,47974.0,395.0,4825.0,342.0,32028.0,183250.0,69792.0,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.0,90.0,14762.0,3154.0,429452.0,320581.0,4177.0,47367.0,2458.0,221183.0,1153639.0,504718.0,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.9,90.0,9292.0,775.0,341896.0,198731.0,2971.0,31320.0,587.0,221736.0,1001949.0,282116.0,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.4499999999999997,90.0,5134.0,1159.0,255625.0,194064.0,1787.0,16736.0,737.0,147433.0,767896.0,293105.0,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.5999999999999996,90.0,3881.0,2031.0,205380.0,159369.0,742.0,24230.0,1353.0,106997.0,592674.0,237389.0,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.0,90.0,19183.0,7222.0,437927.0,355163.0,5739.0,70525.0,5571.0,235043.0,1153991.0,542831.0,3606R_GLUT1_WGA_0001
3606,homo,R,Male,2.8,0,Light Flicker,0,3.0,90.0,14272.0,5858.0,361787.0,271836.0,4203.0,69155.0,5191.0,195106.0,948527.0,418212.0,3606R_GLUT1_WGA_0001
