DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral,file_name
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,107922,170093.0,1069585,653832.0,76333,367993.0,157541.0,779221,1528910.0,856820.0,3420L_GLUT1_647_WGA_594_0001
3420,homo,L,Male,4.6,1,Light Flicker,0,2.55,15,489732,354335.0,1548185,1153001.0,249080,1501794.0,317760.0,969538,3064160.0,1372434.0,3420L_GLUT1_647_WGA_594_0001
3420,homo,L,Male,4.6,0,Light Flicker,0,3.4499999999999997,15,383891,114257.0,1362099,596600.0,198085,844785.0,133175.0,874124,2177701.0,806164.0,3420L_GLUT1_647_WGA_594_0001
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,252370,373467.0,2158679,1376614.0,154632,958229.0,332392.0,1592229,3209467.0,1677220.0,3420L_GLUT1_647_WGA_594_0001
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,795411,604414.0,2374917,1593088.0,346857,2008454.0,654046.0,1193593,3984508.0,2072681.0,3420L_GLUT1_647_WGA_594_0001
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,523795,247305.0,1794936,1130334.0,286747,1293570.0,244871.0,1093982,2733390.0,1425387.0,3420L_GLUT1_647_WGA_594_0001
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,359295,271361.0,2252103,1399101.0,190471,1128486.0,273524.0,1419167,3616868.0,1711819.0,3420L_GLUT1_647_WGA_594_0001
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,320754,307342.0,1906765,1423576.0,212109,1089310.0,279140.0,1348747,3572474.0,1709630.0,3420L_GLUT1_647_WGA_594_0001
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,1193960,445640.0,1585318,1200860.0,818265,2583229.0,384229.0,1305501,2961364.0,1486791.0,3420L_GLUT1_647_WGA_594_0001
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,549639,212893.0,1996757,1307658.0,290089,1388627.0,195489.0,1239210,3200973.0,1519644.0,3420L_GLUT1_647_WGA_594_0001
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,466733,221580.0,2540712,1406024.0,244369,1248444.0,226192.0,1585747,3920317.0,1729883.0,3420L_GLUT1_647_WGA_594_0001
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,207578,108128.0,1514569,804617.0,115861,622298.0,105916.0,991354,2416459.0,956941.0,3420L_GLUT1_647_WGA_594_0001
