Y_vals,mask_id,Stain,X_vals,file_name,DJID,Eye,eGFP_Value,eGFP_Raw_Intensity,in_rip
"0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4, 10, 53, 144, 346, 622, 1134, 2140, 2866, 3444, 4041, 4438, 4693, 5229, 5795, 6069, 6529, 6717, 6747, 6779, 6644, 6276, 5968, 5590, 4996, 4761, 4363, 3735, 3213, 2369, 1825, 1168, 870, 546, 364, 171, 107, 23, 20, 8, 2, 4, 2, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1",0,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75",3603L_GLUT1_WGA_0001,3603,L,False,3.44757733369833,False
"1483, 1672, 1601, 1938, 1758, 1948, 2052, 2472, 2872, 3626, 4952, 6477, 9380, 12796, 14932, 16720, 19330, 18949, 18919, 17552, 16095, 15268, 13937, 13367, 12815, 12641, 12762, 12446, 12602, 12594, 12747, 13111, 13847, 14191, 15504, 16297, 16318, 17233, 19119, 20397, 21832, 23116, 22890, 24053, 23772, 24560, 24417, 24387, 24432, 24280, 23457, 24166, 24800, 24471, 24197, 24160, 24063, 23926, 24126, 25050, 24404, 24271, 25357, 24728, 24396, 24123",0,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75",3603L_GLUT1_WGA_0001,3603,L,False,3.44757733369833,False
"701, 802, 942, 1119, 1317, 1491, 1858, 2566, 3782, 5798, 9182, 14074, 21269, 27302, 28875, 26359, 21794, 17501, 15197, 14240, 12690, 11821, 10779, 9832, 9482, 8893, 8371, 8035, 7854, 7864, 7653, 8153, 7929, 8465, 8297, 8809, 9249, 9016, 9079, 9311, 9223, 9041, 8596, 8637, 8049, 7298, 7217, 6793, 6421, 6394, 5981, 5694, 5486, 5468, 5111, 4890, 5143, 4868, 4545, 4498, 4564, 4582, 4329, 4329, 4136, 4028",0,WGA,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75",3603L_GLUT1_WGA_0001,3603,L,False,3.44757733369833,False
"0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 22, 62, 215, 488, 672, 861, 886, 815, 711, 647, 710, 673, 750, 829, 836, 697, 813, 791, 710, 635, 603, 507, 380, 328, 243, 262, 203, 175, 129, 110, 121, 83, 47, 33, 21, 19, 13, 21, 22, 10, 6, 3, 3, 2, 4, 4, 7, 5, 3, 2, 1, 0, 1, 0, 1, 5",0,GluT1,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75",3603L_GLUT1_WGA_0001,3603,L,False,3.44757733369833,False
"0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 7, 15, 75, 265, 610, 1021, 1955, 3411, 4297, 5006, 5880, 6486, 6813, 7030, 7005, 6377, 6053, 5504, 5008, 4508, 4045, 3456, 3057, 2630, 2204, 1946, 1782, 1288, 936, 400, 159, 34, 7, 6, 7, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0",5,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75",3603L_GLUT1_WGA_0001,3603,L,False,3.0921940928270044,False
"1709, 1733, 1966, 2358, 2346, 2498, 2612, 3098, 3359, 4281, 5532, 7032, 9758, 13929, 16361, 19176, 20910, 20530, 18564, 16290, 15507, 14736, 14296, 14657, 15317, 16896, 17499, 18292, 19161, 20187, 20961, 21270, 22523, 23650, 25009, 25653, 25780, 26906, 27515, 29269, 29940, 30747, 30764, 31661, 31710, 31175, 31492, 31242, 32004, 32370, 32131, 32002, 32721, 32768, 32904, 32675, 32458, 31481, 32004, 31598, 31236, 31041, 31100, 30993, 30124, 29746",5,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75",3603L_GLUT1_WGA_0001,3603,L,False,3.0921940928270044,False
"890, 984, 1212, 1352, 1617, 1812, 2321, 3054, 4512, 6758, 10169, 15318, 23863, 33409, 36952, 37864, 32956, 25922, 21935, 18786, 15598, 13967, 13113, 13229, 13767, 14577, 15483, 16000, 16022, 15710, 15486, 15730, 15447, 15795, 15158, 15165, 15397, 14879, 14168, 13699, 13454, 12360, 11235, 11312, 10386, 9439, 9354, 9006, 8198, 8215, 7837, 7267, 7052, 6914, 6554, 6298, 6248, 6113, 5854, 5849, 5655, 5610, 5254, 5452, 5220, 5166",5,WGA,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75",3603L_GLUT1_WGA_0001,3603,L,False,3.0921940928270044,False
"0, 0, 0, 0, 1, 0, 1, 0, 1, 4, 22, 62, 284, 684, 1092, 1584, 2184, 2778, 2793, 2549, 2216, 1613, 1470, 1287, 1195, 910, 1076, 1059, 961, 972, 959, 940, 875, 914, 668, 764, 623, 551, 396, 343, 308, 244, 204, 90, 128, 85, 77, 118, 79, 74, 68, 70, 58, 49, 28, 20, 20, 8, 6, 2, 7, 1, 2, 3, 2, 5",5,GluT1,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75",3603L_GLUT1_WGA_0001,3603,L,False,3.0921940928270044,False
"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 15, 58, 227, 516, 1396, 3209, 4256, 5069, 6110, 6684, 6865, 7194, 6882, 6071, 5499, 4794, 4036, 3510, 3026, 2363, 1801, 1320, 815, 585, 449, 153, 76, 9, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0",6,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75",3603L_GLUT1_WGA_0001,3603,L,False,5.133592471358429,False
"3751, 4038, 4467, 4629, 5211, 4991, 5569, 6404, 7272, 9239, 11983, 15097, 20734, 28351, 36077, 43360, 52396, 55514, 54759, 54700, 53303, 51918, 51880, 50186, 50018, 51054, 52326, 54336, 56551, 58922, 60188, 61184, 61934, 63537, 64956, 64493, 64347, 65259, 64052, 64638, 64846, 64559, 63983, 65204, 65243, 65577, 65345, 64684, 65952, 65843, 65610, 64992, 64532, 65171, 63395, 64769, 65108, 63777, 64558, 64272, 64828, 66049, 65742, 65585, 66454, 66501",6,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75",3603L_GLUT1_WGA_0001,3603,L,False,5.133592471358429,False
