Y_vals,mask_id,Stain,X_vals,file_name,DJID,Eye,eGFP_Value,eGFP_Raw_Intensity,in_rip
"10058, 10928, 12618, 14980, 18315, 23361, 31210, 40016, 47312, 63912, 93392, 133304, 162237, 186711, 190544, 184027, 165617, 137153, 105485, 85495, 64784, 52615, 48298, 42024, 40654, 33897, 30873, 29534, 26871, 26725, 25312, 24737, 23126, 22600, 21931, 21512",5,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25",3558R0_GLUT1_WGA_0002,3558,R0,False,18.23040380047506,True
"7931, 8652, 9132, 9651, 11026, 12904, 16121, 19380, 23139, 32319, 53347, 76740, 81470, 75177, 69075, 67282, 71718, 80099, 97331, 110052, 126357, 139353, 144868, 148008, 149966, 158134, 158094, 157954, 159432, 157830, 159602, 160282, 160666, 162944, 161778, 160745",5,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25",3558R0_GLUT1_WGA_0002,3558,R0,False,18.23040380047506,True
"4083, 4638, 5269, 6256, 7400, 9642, 13384, 17927, 22653, 34347, 60742, 94007, 105619, 92999, 81021, 70458, 68249, 72176, 84062, 93431, 107403, 117911, 122037, 127665, 127594, 129058, 125279, 123007, 115539, 113791, 108630, 101019, 95203, 85156, 78666, 72371",5,WGA,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25",3558R0_GLUT1_WGA_0002,3558,R0,False,18.23040380047506,True
"38, 63, 159, 253, 617, 1538, 2941, 4440, 6425, 10457, 19455, 30072, 34203, 28045, 21355, 14119, 10604, 8471, 7813, 7487, 6945, 6626, 6632, 6267, 5533, 4803, 3720, 3496, 2736, 2580, 2016, 1477, 980, 548, 335, 210",5,GluT1,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25",3558R0_GLUT1_WGA_0002,3558,R0,False,18.23040380047506,True
"14283, 15825, 17149, 20519, 24865, 31126, 41298, 52455, 62435, 84646, 119023, 163357, 197746, 226948, 228960, 212388, 189404, 154395, 119906, 100600, 82718, 69987, 65875, 59397, 57380, 51348, 48501, 47383, 43800, 42907, 42949, 41818, 40698, 39917, 39564, 39920",7,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25",3558R0_GLUT1_WGA_0002,3558,R0,True,23.25274513581198,True
"14019, 14832, 15118, 17723, 19570, 22573, 28645, 34057, 41597, 59161, 90366, 118232, 127898, 122368, 120705, 124750, 137826, 158977, 182428, 202329, 222225, 240812, 244749, 253773, 259018, 264646, 271496, 270399, 273912, 270304, 270422, 271626, 269797, 268472, 268890, 263299",7,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25",3558R0_GLUT1_WGA_0002,3558,R0,True,23.25274513581198,True
"7796, 9019, 10176, 11997, 14011, 18575, 25439, 33379, 41534, 63622, 99901, 140599, 156690, 146887, 137980, 131025, 134229, 149743, 171589, 186503, 204036, 216689, 220920, 227327, 226952, 226268, 218851, 212881, 199104, 195437, 186733, 173550, 163216, 146985, 135219, 125007",7,WGA,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25",3558R0_GLUT1_WGA_0002,3558,R0,True,23.25274513581198,True
"20, 22, 63, 75, 182, 400, 916, 1514, 2637, 4586, 8740, 12978, 15308, 14602, 13170, 10435, 9397, 9037, 9675, 10121, 9986, 9938, 9946, 9598, 8811, 8076, 6688, 6431, 5343, 4881, 4250, 3509, 2785, 1954, 1383, 950",7,GluT1,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25",3558R0_GLUT1_WGA_0002,3558,R0,True,23.25274513581198,True
"8346, 8835, 9750, 11196, 13215, 15833, 19771, 24269, 28476, 34046, 46302, 65708, 85901, 118854, 140488, 163031, 177088, 178259, 160758, 140778, 114821, 93050, 83781, 71800, 67247, 52283, 45276, 43530, 38110, 37553, 35492, 33342, 32023, 30046, 29103, 28096",8,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25",3558R0_GLUT1_WGA_0002,3558,R0,True,25.81942257217848,False
"10886, 11698, 12824, 13386, 15647, 19078, 24575, 30855, 38527, 55177, 86148, 117397, 133626, 132013, 121026, 108797, 98372, 89687, 90334, 96792, 107689, 116950, 126603, 134977, 137734, 156591, 165151, 169801, 175331, 172993, 176651, 179060, 178783, 182108, 184433, 186537",8,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25",3558R0_GLUT1_WGA_0002,3558,R0,True,25.81942257217848,False
"8937, 10026, 11286, 14071, 17065, 22684, 31965, 44009, 55312, 82047, 130476, 169627, 176622, 163480, 155139, 145261, 134007, 120103, 113230, 113890, 121226, 133080, 138411, 148125, 152000, 166263, 174560, 174958, 177468, 176608, 175254, 169949, 164872, 152980, 141415, 131606",8,WGA,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25",3558R0_GLUT1_WGA_0002,3558,R0,True,25.81942257217848,False
"598, 802, 1373, 1798, 2746, 4260, 6874, 9707, 12791, 19116, 30467, 43534, 50646, 49740, 44190, 33874, 24992, 16686, 11620, 9803, 8241, 7922, 7985, 8053, 7569, 8049, 7944, 7960, 7621, 7443, 6976, 6281, 5531, 4559, 3725, 3170",8,GluT1,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25",3558R0_GLUT1_WGA_0002,3558,R0,True,25.81942257217848,False
