Y_vals,mask_id,Stain,X_vals,file_name,DJID,Eye,eGFP_Value,eGFP_Raw_Intensity,in_rip
"41033, 40871, 40996, 41502, 41443, 42249, 43285, 43801, 46282, 47655, 50082, 52193, 53689, 55162, 56114, 56231, 55992, 56731, 57653, 56914, 58173, 60552, 61205, 62575, 62588, 63988, 64360, 64823, 66536, 65469, 66700, 67267, 70994, 73626, 80700, 90187, 96421, 96436, 101114, 103648, 110212, 118978, 124321, 128430, 128847, 129388, 129436, 127212, 126774, 125698, 123400, 119383, 116538, 106430, 98911, 88542, 78055, 70340, 62840, 64111, 62626, 61131, 59694, 57890, 57170, 56445, 55521, 56209, 54155, 54365, 54116, 53684, 54669, 53221, 53555, 53754, 53667, 53074, 51945, 52969, 52331, 52672, 51948, 52127, 52639, 51967, 52198, 51777, 52236, 51607, 51390, 51225, 51503, 51362, 50985, 50967, 51319, 51917, 51039, 51068, 50532, 50833",0,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,3.0374149659863945,False
"5885, 6009, 6108, 6163, 6162, 6335, 6366, 6426, 6856, 7319, 7923, 8905, 9827, 10692, 11112, 11465, 11413, 11628, 12271, 12413, 12953, 13852, 14481, 15013, 15472, 15352, 16054, 15622, 16029, 15982, 15881, 16002, 16159, 15547, 14586, 13422, 12645, 12551, 12334, 12129, 11580, 10845, 10520, 10135, 9762, 9487, 9823, 10016, 10336, 10265, 10585, 11069, 11552, 12042, 12170, 11942, 11963, 11753, 11483, 11606, 11319, 11315, 11356, 11149, 11390, 11399, 11300, 11372, 11114, 11053, 11079, 10999, 11177, 11029, 10906, 10961, 11065, 10863, 11024, 11081, 11006, 10997, 11033, 11159, 11033, 11022, 11009, 11076, 11071, 10993, 11258, 11135, 11042, 11035, 10925, 11099, 11417, 11557, 11634, 11825, 12161, 12639",0,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,3.0374149659863945,False
"18220, 17837, 19043, 20836, 23127, 27498, 29845, 35390, 51555, 68623, 97171, 121099, 132981, 132055, 127264, 126775, 122929, 121266, 116925, 114566, 112997, 108260, 103470, 97710, 94921, 90420, 88738, 87740, 86601, 85451, 84932, 83828, 84067, 83499, 82775, 79647, 76652, 76845, 73229, 72558, 68644, 60217, 55113, 44393, 39276, 37092, 36260, 36658, 37557, 37829, 38468, 40045, 41102, 44074, 45765, 47671, 49848, 51089, 50442, 50447, 49889, 49128, 48507, 45851, 45167, 43139, 40802, 38323, 35410, 34272, 33532, 34159, 33810, 33031, 31625, 30760, 29315, 28363, 27336, 26865, 25940, 25394, 25262, 25178, 24972, 24148, 23460, 23040, 22304, 21476, 20942, 20398, 20254, 19674, 19645, 19520, 18995, 18701, 18178, 17985, 17549, 17413",0,WGA,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,3.0374149659863945,False
"1861, 1866, 1997, 2297, 2782, 3546, 3885, 4737, 7023, 9261, 12438, 15175, 16938, 17529, 17430, 17266, 17171, 17163, 16752, 16476, 16068, 15263, 14595, 13852, 13494, 12731, 12518, 12435, 12132, 12277, 11947, 12003, 11914, 12010, 11627, 11654, 11140, 11158, 10760, 10669, 10200, 9077, 8438, 6872, 6277, 5998, 5818, 6015, 6101, 6116, 6263, 6698, 6783, 7267, 7431, 7544, 7746, 7480, 6957, 6933, 6916, 6606, 6557, 6026, 5950, 5584, 5262, 4964, 4578, 4347, 4453, 4507, 4424, 4401, 4259, 3998, 3910, 3816, 3641, 3606, 3390, 3441, 3302, 3348, 3349, 3323, 3211, 2990, 2990, 2907, 2769, 2617, 2684, 2620, 2533, 2480, 2487, 2355, 2190, 2229, 2139, 2167",0,GluT1,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,3.0374149659863945,False
"88189, 88366, 89633, 90550, 92701, 93391, 94216, 96243, 102857, 106940, 113463, 118354, 122969, 127969, 131319, 133471, 134526, 136171, 140321, 145561, 149094, 161002, 173738, 187074, 194847, 212288, 220160, 221535, 234150, 234300, 249043, 260374, 280569, 292196, 303611, 306338, 309003, 308638, 309630, 307646, 307981, 302125, 297364, 288294, 281401, 275057, 262368, 252238, 241220, 239891, 232376, 220735, 213907, 188291, 171628, 153860, 140213, 133462, 124986, 124671, 123701, 121608, 119406, 119623, 116512, 116493, 114399, 113185, 112074, 111646, 111239, 111611, 110894, 111811, 111925, 111057, 109963, 110719, 109552, 109528, 109044, 108063, 107741, 107509, 108806, 107374, 107429, 106345, 107257, 107493, 106872, 107024, 106169, 105942, 106779, 106626, 105959, 105967, 104676, 106256, 105135, 105557",1,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,3.887453600593912,False
"12351, 12517, 12591, 12533, 12872, 13172, 13211, 13367, 14195, 15112, 16556, 18440, 19816, 21319, 22168, 21742, 22282, 22462, 22587, 22903, 23290, 24332, 24673, 25462, 26270, 26953, 27570, 27610, 27647, 27655, 28519, 28728, 29278, 28630, 28043, 26782, 26547, 26182, 25945, 25978, 25627, 25398, 25893, 25715, 25914, 26009, 26264, 26482, 26508, 26336, 26501, 26284, 25997, 25178, 24258, 23624, 23382, 23149, 23029, 23125, 23243, 22910, 22661, 22339, 22563, 22369, 22155, 22120, 22001, 22748, 22815, 22115, 22630, 22411, 22465, 22652, 22792, 22411, 22251, 22575, 22424, 22273, 22381, 22650, 22509, 22571, 22600, 22414, 22495, 22725, 22541, 22603, 22720, 22907, 22781, 23094, 23599, 24324, 24852, 25353, 26130, 26811",1,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,3.887453600593912,False
"36249, 36082, 38253, 41783, 46926, 55146, 59641, 71786, 104504, 139017, 199014, 246469, 265942, 246414, 226659, 219833, 208399, 204706, 188648, 182366, 177572, 167686, 161393, 153853, 150673, 143571, 139641, 138968, 134408, 132467, 126683, 121799, 114731, 110947, 108284, 104451, 102396, 102589, 99945, 99927, 97155, 91155, 87942, 82526, 80001, 77397, 73271, 72079, 72448, 72863, 74625, 78883, 81134, 91879, 98642, 106815, 112651, 112678, 106571, 106856, 104622, 102484, 100736, 95417, 92906, 89425, 84308, 79369, 74010, 71832, 71217, 71493, 70626, 69356, 67404, 65937, 63017, 61125, 58348, 57117, 54329, 53174, 53021, 52276, 51969, 50287, 48670, 47917, 46598, 44708, 43315, 42392, 41528, 40750, 40639, 40141, 39073, 38381, 37724, 37205, 36625, 36040",1,WGA,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,3.887453600593912,False
"3716, 3685, 3942, 4752, 5772, 7366, 7969, 10020, 15189, 20085, 27308, 32915, 35880, 36114, 34970, 34376, 33055, 33172, 31312, 30614, 29833, 27808, 26534, 24803, 24177, 22720, 22101, 21873, 21186, 20894, 19952, 19000, 17981, 17434, 16746, 16527, 16146, 16017, 15560, 15443, 15021, 14466, 13631, 13066, 12621, 12011, 11513, 11226, 11153, 11409, 11571, 11878, 12135, 13145, 13540, 14382, 14735, 14798, 13779, 13941, 13472, 13289, 13059, 12312, 12007, 11584, 11070, 10617, 9893, 9586, 9337, 9500, 9599, 9254, 9102, 8851, 8565, 8183, 7897, 7881, 7305, 7381, 7140, 7159, 7123, 6863, 6518, 6322, 6093, 5853, 5405, 5416, 5235, 5273, 5154, 5095, 4788, 4724, 4305, 4382, 4284, 4165",1,GluT1,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,3.887453600593912,False
"107376, 108317, 109214, 111307, 113582, 116412, 116599, 121794, 131621, 139271, 151545, 163552, 174802, 192940, 205052, 208119, 219180, 222984, 243280, 254730, 267487, 292604, 309803, 324741, 326350, 334002, 339986, 337655, 339544, 340385, 340343, 339779, 335005, 324741, 320170, 309364, 303366, 303205, 295586, 292533, 286812, 272259, 263884, 238065, 211738, 190491, 166697, 159136, 155253, 150772, 149877, 146207, 144000, 141454, 139720, 136997, 135540, 135482, 133727, 133442, 132994, 134030, 133522, 132385, 132430, 131779, 132005, 130947, 129903, 130375, 129929, 130328, 130497, 129986, 130256, 130585, 130516, 129830, 128206, 128925, 129751, 128466, 128246, 128185, 129041, 129324, 128289, 127838, 128094, 128378, 128536, 127443, 127228, 127600, 127165, 126362, 127434, 127845, 127330, 127222, 127524, 127000",2,DAPI,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,12.040738461538462,False
"16401, 16591, 16923, 16968, 17867, 18256, 18720, 19302, 21397, 23546, 26849, 31690, 36696, 45975, 51554, 52350, 57501, 59481, 66142, 70912, 73949, 82271, 87239, 92291, 93167, 97147, 96985, 97359, 98369, 97415, 97831, 97993, 97584, 98658, 97925, 98969, 97924, 98343, 97306, 96868, 97095, 96536, 94821, 92926, 90514, 87169, 82673, 78568, 73767, 72236, 69244, 64706, 61495, 50858, 46023, 39267, 35196, 33416, 31551, 31924, 31356, 30976, 30858, 31399, 31298, 31311, 31829, 31410, 31836, 31588, 31615, 31272, 31114, 31087, 30812, 30871, 30971, 31278, 31780, 32907, 33042, 33503, 33675, 33547, 32956, 33631, 33650, 33224, 32773, 32011, 32066, 32822, 32861, 33334, 33040, 33541, 34690, 34839, 34631, 34759, 35972, 35275",2,eGFP,"0.0, 0.15, 0.3, 0.44999999999999996, 0.6, 0.75, 0.8999999999999999, 1.05, 1.2, 1.3499999999999999, 1.5, 1.65, 1.7999999999999998, 1.95, 2.1, 2.25, 2.4, 2.55, 2.6999999999999997, 2.85, 3.0, 3.15, 3.3, 3.4499999999999997, 3.5999999999999996, 3.75, 3.9, 4.05, 4.2, 4.35, 4.5, 4.6499999999999995, 4.8, 4.95, 5.1, 5.25, 5.3999999999999995, 5.55, 5.7, 5.85, 6.0, 6.1499999999999995, 6.3, 6.45, 6.6, 6.75, 6.8999999999999995, 7.05, 7.199999999999999, 7.35, 7.5, 7.6499999999999995, 7.8, 7.949999999999999, 8.1, 8.25, 8.4, 8.549999999999999, 8.7, 8.85, 9.0, 9.15, 9.299999999999999, 9.45, 9.6, 9.75, 9.9, 10.049999999999999, 10.2, 10.35, 10.5, 10.65, 10.799999999999999, 10.95, 11.1, 11.25, 11.4, 11.549999999999999, 11.7, 11.85, 12.0, 12.15, 12.299999999999999, 12.45, 12.6, 12.75, 12.9, 13.049999999999999, 13.2, 13.35, 13.5, 13.65, 13.799999999999999, 13.95, 14.1, 14.25, 14.399999999999999, 14.549999999999999, 14.7, 14.85, 15.0, 15.149999999999999",2007R_GLUT1_647_WGA_594_0002,2007,R,False,12.040738461538462,False
