file_name,masks_in_rip
3195L_GLUT1_WGA_0001,"[22, 19, 20, 25, 33, 35, 10, 21, 29, 34, 40, 38, 9, 16, 21, 29, 34, 37, 36, 13, 18, 26, 26, 23, 34, 32, 27, 24, 14, 17, 17, 14, 15, 18, 13, 16, 26, 23, 28]"
3195L_GLUT1_WGA_0002,"[0, 10, 8, 9, 17, 16, 12, 22, 32, 37, 30, 34, 42, 64, 61, 72, 77, 71, 67, 62, 68, 69, 74, 77, 74, 56, 52, 55, 59, 65, 66, 54, 51, 46, 49, 45, 50, 48, 60, 58, 76]"
3422L_GLUT1_WGA_0001,[]
3422L_GLUT1_WGA_0002,"[12, 21, 17, 14, 8, 7, 22, 26, 36, 43, 48, 51, 41, 35, 56, 54, 63, 42, 46, 39, 33, 30]"
3478L_GLUT1_WGA_002,"[78, 69, 59, 53, 57, 70]"
3478L_GLUT1_WGA_003,[]
3479L_GLUT1_WGA_0001,[]
3479L_GLUT1_WGA_0002,"[43, 38, 44, 32, 44, 48, 40, 35, 41, 33, 45]"
2007R_GLUT1_647_WGA_594_0002,[]
3203R_GLUT1_647_WGA_594_0002,[]
2006L_GLUT1_647_WGA_594_0001,[]
2006L_GLUT1_647_WGA_594_0002,[]
2006L_GLUT1_647_WGA_594_0003,[]
2006R_GLUT1_647_WGA_594_0001,[]
2006R_GLUT1_647_WGA_594_0002,[]
2007L_GLUT1_647_WGA_594_0001,[]
2007L_GLUT1_647_WGA_594_0002,[]
2007R_GLUT1_647_WGA_594_0001,[]
2007R_GLUT1_647_WGA_594_0002,[]
3101R_GLUT1_647_WGA_594_0001,[]
3101R_GLUT1_647_WGA_594_0002,[]
3201L_GLUT1_647_WGA_594_0002,[]
3203L_GLUT1_647_WGA_594_0001,[]
3203L_GLUT1_647_WGA_594_0002,[]
3203R_GLUT1_647_WGA_594_0001,[]
3203R_GLUT1_647_WGA_594_0002,[]
3318L_GLUT1_647_WGA_594_0003,[]
3318L_GLUT1_647_WGA_594_0004,[]
3318R_GLUT1_647_WGA_594_0001,[]
3420L_GLUT1_647_WGA_594_0001,[]
3420L_GLUT1_647_WGA_594_0002,[]
3420L_GLUT1_647_WGA_594_0003,[]
3420RA_GLUT1_647_WGA_594_0001,[]
3420RA_GLUT1_647_WGA_594_0002,[]
3420RA_GLUT1_647_WGA_594_0003,[]
3527LC_dark_WGA594_GLUT1_647_TUSC5_001,[]
3527LC_dark_WGA594_GLUT1_647_TUSC5_002,[]
3527LC_dark_WGA594_GLUT1_647_TUSC5_003,[]
3527LD_dark_WGA594_GLUT1_647_TUSC5_001,[]
3527LD_dark_WGA594_GLUT1_647_TUSC5_002,[]
3527LD_dark_WGA594_GLUT1_647_TUSC5_003,[]
3527LD_dark_WGA594_GLUT1_647_TUSC5_004,[]
3527RA_light_WGA594_GLUT1_647_TUSC5_001,[]
3527RA_light_WGA594_GLUT1_647_TUSC5_002,[]
3527RA_light_WGA594_GLUT1_647_TUSC5_003,[]
3529RC_GLUT1_647_WGA_594_0001,[]
3529RD_GLUT1_647_WGA_594_0001,[]
3529RD_GLUT1_647_WGA_594_0002,[]
3529RD_GLUT1_647_WGA_594_0003,[]
3574LC_dark_WGA594_GLUT1_647_TUSC5_001,[]
3574LC_dark_WGA594_GLUT1_647_TUSC5_002,[]
3574LC_dark_WGA594_GLUT1_647_TUSC5_003,[]
3574LD_dark_WGA594_GLUT1_647_TUSC5_001,[]
3574LD_dark_WGA594_GLUT1_647_TUSC5_002,[]
3574LD_dark_WGA594_GLUT1_647_TUSC5_003,[]
3574RA_light_WGA594_GLUT1_647_TUSC5_001,[]
3574RA_light_WGA594_GLUT1_647_TUSC5_002,[]
3574RA_light_WGA594_GLUT1_647_TUSC5_003,[]
3574RB_light_WGA594_GLUT1_647_TUSC5_001,[]
3574RB_light_WGA594_GLUT1_647_TUSC5_002,[]
3574RB_light_WGA594_GLUT1_647_TUSC5_003,[]
3604R_GLUT1_WGA_0001,[]
3604R_GLUT1_WGA_0002,[]
3604R_GLUT1_WGA_0003,[]
3606R_GLUT1_WGA_0001,[]
3606R_GLUT1_WGA_0002,[]
3653L_GLUT1_WGA_0001,[]
3653L_GLUT1_WGA_0002,[]
3653L_GLUT1_WGA_0003,[]
3654L_GLUT1_WGA_0001,[]
3654L_GLUT1_WGA_0002,[]
3654L_GLUT1_WGA_0003,[]
3656R_GLUT1_WGA_0001,[]
3656R_GLUT1_WGA_0002,[]
3656R_GLUT1_WGA_0003,[]
3656R_GLUT1_WGA_0004,[]
3656R_GLUT1_WGA_0005,[]
3604R_GLUT1_WGA_0001,[]
3604R_GLUT1_WGA_0002,[]
3604R_GLUT1_WGA_0003,[]
3606R_GLUT1_WGA_0001,[]
3606R_GLUT1_WGA_0002,[]
3653L_GLUT1_WGA_0001,[]
3653L_GLUT1_WGA_0002,[]
3653L_GLUT1_WGA_0003,[]
3654L_GLUT1_WGA_0001,[]
3654L_GLUT1_WGA_0002,[]
3654L_GLUT1_WGA_0003,[]
3656R_GLUT1_WGA_0001,[]
3656R_GLUT1_WGA_0002,[]
3656R_GLUT1_WGA_0003,[]
3656R_GLUT1_WGA_0004,[]
3656R_GLUT1_WGA_0005,[]
3603L_GLUT1_WGA_0001,[]
3603L_GLUT1_WGA_0001,[]
3603L_GLUT1_WGA_0002,[]
3603L_GLUT1_WGA_0003,[]
3607R_GLUT1_WGA_0001,[]
3607R_GLUT1_WGA_0002,[]
3607R_GLUT1_WGA_0003,[]
3608R_GLUT1_WGA_0001,[]
3608R_GLUT1_WGA_0002,[]
3608R_GLUT1_WGA_0003,[]
3655R_GLUT1_WGA_0001,[]
3655R_GLUT1_WGA_0002,[]
3655R_GLUT1_WGA_0003,[]
3657R_GLUT1_WGA_0001,[]
3657R_GLUT1_WGA_0002,[]
3657R_GLUT1_WGA_0003,[]
3420L_GLUT1_647_WGA_594_0001,[]
3420L_GLUT1_647_WGA_594_0002,[]
3420L_GLUT1_647_WGA_594_0003,"[0, 15, 19, 23, 13, 23, 29, 34, 26, 30, 43, 47, 32, 39, 35, 41, 49, 55, 69, 35, 41, 45, 51]"
3420RA_GLUT1_647_WGA_594_0001,"[14, 30, 27, 7, 75, 80, 94, 111, 118, 90, 97, 89, 92, 99, 103, 104, 107, 111, 118, 121, 119, 122, 115, 96, 106, 116, 113, 86, 87, 109]"
3420RA_GLUT1_647_WGA_594_0002,[]
3420RA_GLUT1_647_WGA_594_0003,"[6, 12, 17, 30, 24, 37, 42, 44, 39, 47, 30, 24, 56, 63, 54, 66, 68, 75, 82, 88, 96, 101]"
3527LC_dark_WGA594_GLUT1_647_TUSC5_001,[]
3527LC_dark_WGA594_GLUT1_647_TUSC5_002,[]
3527LC_dark_WGA594_GLUT1_647_TUSC5_003,[]
3527LD_dark_WGA594_GLUT1_647_TUSC5_001,"[63, 69, 82, 91, 96, 98, 105, 103, 119, 109, 120, 116, 82, 113118, 106, 102, 94, 68, 70, 46, 50, 59, 41, 58, 41, 37, 37, 48, 54, 51, 50, 51, 62, 77, 71, 108, 111, 90, 97, 85, 81, 75, 71, 51, 40, 38, 49, 60, 64, 78, 79, 85, 90, 86, 104, 99, 99, 89, 86, 79, 64, 49, 60, 44, 55, 67, 72, 80, 83, 99, 92, 93, 84, 76, 56, 67, 42, 52, 57, 47, 35, 43, 53, 61, 65, 73, 84, 56, 66, 67, 55, 60, 67, 72, 80, 77]"
