DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
3420,homo,L,Male,4.6,0,Light Flicker,0,3.5999999999999996,15,80319,59518,913270,342238,52774,186575,69711,643701,1719801,439743
3420,homo,L,Male,4.6,0,Light Flicker,0,3.5999999999999996,15,417143,124234,1955723,853475,226650,1120746,145166,1211399,3685717,1040893
3420,homo,L,Male,4.6,0,Light Flicker,0,3.9,15,354529,87533,1243520,532593,183512,819646,92504,798149,2128818,643649
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,643845,324075,2067012,1270178,281562,2044906,275488,1037139,4627211,1405797
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,178305,108805,1411573,792742,79395,664534,108056,689795,2721191,959535
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,788991,208015,2459766,1006229,425213,1525664,223781,1563284,4202768,1227386
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,767460,566219,3220346,1908962,500930,2899678,578424,2727946,6130938,2452922
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,310311,162981,1245739,644913,163971,1211551,137115,787487,1920898,751278
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,342578,350136,1428485,1006997,190811,1838456,285532,892879,3061398,1233494
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,347195,172249,1814217,830833,196682,763719,168159,1149676,3205471,1046765
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,104855,53535,623890,293797,59221,257470,51309,394544,1055963,361963
3420,homo,L,Male,4.6,0,Light Flicker,0,3.4499999999999997,15,360722,91702,1075934,594850,233815,688677,89229,722725,2226517,603407
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,162085,49407,1377999,577500,127001,216584,68399,1010634,2575296,670658
3420,homo,L,Male,4.6,1,Light Flicker,0,3.0,15,530834,219187,1635263,859401,283937,1363182,214348,987525,3106847,1021209
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,147914,95003,1146193,605366,95276,417576,93186,792330,2047027,748745
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,490918,330089,1111618,708724,288064,1907430,256871,767929,2162075,869772
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,244056,98143,1261943,628341,163979,489033,104192,964868,1962861,769379
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,92822,78597,969257,616537,74708,288105,80120,702868,1801864,742459
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,324400,109768,898326,595070,180727,875546,102267,595766,1697460,675741
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,121707,78011,767532,315426,75484,355364,67106,564370,1156622,390402
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,270820,220318,1306570,1120965,133234,925049,153998,834665,2835848,1031755
3420,homo,L,Male,4.6,0,Light Flicker,0,3.3,15,194764,86280,1047341,706325,105156,671762,54808,656337,2239045,503645
3420,homo,L,Male,4.6,0,Light Flicker,0,3.75,15,481570,123687,1691073,697841,238992,1595143,44043,1061651,3840260,283538
3420,homo,L,Male,4.6,0,Light Flicker,0,3.3,15,151227,95668,1102417,832344,82132,477483,64710,696979,2441144,603446
3420,homo,L,Male,4.6,0,Light Flicker,0,3.4499999999999997,15,377656,229854,1555316,1189748,194090,1424504,122337,969913,3812384,678252
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,152020,105137,938426,781353,79972,517452,74525,586133,2220203,645122
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,1070522,1137813,830091,434828,460105,5182207,1316908,420266,1947824,476819
3420,homo,L,Male,4.6,0,Light Flicker,0,3.4499999999999997,15,1161899,968281,873070,499324,524553,5151020,889684,455184,2133964,423974
3420,homo,L,Male,4.6,0,Light Flicker,0,3.3,15,889142,734058,997234,454268,481453,3900701,632935,623510,2367703,383591
3420,homo,RA,Male,4.6,0,Dark,0,3.15,15,281404,368604,1653925,1703250,103855,2005645,310107,776569,3863104,1703557
3420,homo,RA,Male,4.6,0,Dark,0,3.15,15,647271,523810,1756029,1544901,234231,2622561,423959,802494,3757937,1661005
3420,homo,RA,Male,4.6,0,Dark,0,3.15,15,1108581,746738,2260692,2164291,394797,5190323,494211,1029054,5964105,2118663
3420,homo,RA,Male,4.6,0,Dark,0,3.4499999999999997,15,682612,292700,2050862,1622696,239838,3351689,256814,929448,5315587,1478474
3420,homo,RA,Male,4.6,0,Dark,0,3.15,15,693268,582703,2372971,2339121,246194,3100821,438462,1046237,6232222,2278267
3420,homo,RA,Male,4.6,0,Dark,0,3.3,15,713353,250692,2108911,1205034,459002,2131460,149623,1473389,4502693,816009
3420,homo,RA,Male,4.6,0,Dark,0,3.0,15,713941,445815,1965325,1960709,252029,2879402,405671,829440,4684508,2279693
3420,homo,RA,Male,4.6,0,Dark,0,3.4499999999999997,15,1451320,570080,894977,2000989,955257,4416360,297438,676747,5270725,1126449
3420,homo,RA,Male,4.6,0,Dark,0,3.5999999999999996,15,285244,177106,524007,437955,171923,1053715,73202,392284,1073309,224495
3420,homo,RA,Male,4.6,0,Dark,0,3.15,15,306584,168393,806850,502524,215714,1244177,153347,666436,1755269,611658
3420,homo,RA,Male,4.6,0,Dark,0,4.2,15,580863,51890,637751,247903,424960,1608330,18015,526965,1847508,98185
3420,homo,RA,Male,4.6,0,Dark,0,3.9,15,534571,84462,823099,441832,398938,1686786,45889,672949,2210798,247323
3420,homo,RA,Male,4.6,0,Dark,0,3.75,15,977568,115431,1137832,607289,755935,3030055,64376,1101216,2975604,342173
3420,homo,RA,Male,4.6,0,Dark,0,4.2,15,1107371,77295,988963,396806,797456,2997058,28301,819939,2840573,157205
3420,homo,RA,Male,4.6,0,Dark,0,3.0,15,356313,182748,693986,343145,289751,1009720,169197,659094,1318193,437416
3420,homo,RA,Male,4.6,0,Dark,0,3.9,15,659993,98570,907334,436211,548574,2201260,43163,854327,2448373,214794
3420,homo,RA,Male,4.6,0,Dark,0,3.0,15,1207211,720566,1895644,1056046,868787,5011917,602887,1686075,4061437,1302182
3420,homo,RA,Male,4.6,0,Dark,0,3.15,15,669225,207132,1268857,583547,539981,1620993,191216,1196918,2492652,666452
3420,homo,RA,Male,4.6,0,Dark,0,4.2,15,1730723,184313,2062866,824135,1204762,6643035,66416,1719682,6280437,325868
3420,homo,RA,Male,4.6,0,Dark,0,3.0,15,904023,183679,948003,448657,824399,1559023,161632,904338,1819494,576289
3420,homo,RA,Male,4.6,0,Dark,1,3.0,15,756035,124264,354969,414687,795522,1281400,101361,320059,1048516,400054
3420,homo,RA,Male,4.6,1,Dark,0,3.9,15,473020,90964,754216,386014,319145,2009668,50459,604603,2054129,216434
3420,homo,RA,Male,4.6,0,Dark,1,3.3,15,706528,101816,618436,585812,688967,1151935,59681,605279,1805352,332536
3420,homo,RA,Male,4.6,0,Dark,0,3.0,15,455553,389943,1068328,709305,322690,2061100,316122,1001246,2311773,859090
3420,homo,RA,Male,4.6,0,Dark,0,3.0,15,596612,128307,940369,498184,492863,1115161,124512,869259,1822767,638267
3420,homo,RA,Male,4.6,0,Dark,0,4.05,15,754326,167511,1668923,693274,519892,3630481,61810,1379468,4947704,274193
3420,homo,RA,Male,4.6,0,Dark,0,3.0,15,1011087,166660,1068385,669096,810844,1966935,165159,972840,2148934,809673
3420,homo,RA,Male,4.6,0,Dark,0,4.2,15,803822,208464,1001717,457134,545438,4022927,70376,764363,3074220,180236
3420,homo,RA,Male,4.6,0,Dark,1,3.15,15,924368,161316,670789,719837,718123,2286718,131649,571645,2178298,601679
3420,homo,RA,Male,4.6,0,Dark,0,3.3,15,1008058,303928,2239965,1365596,772979,2904659,257289,2079502,4991932,1151297
3420,homo,RA,Male,4.6,0,Dark,0,3.75,15,775050,150113,1013323,617763,599757,2662099,79962,910564,2754882,348694
3420,homo,RA,Male,4.6,0,Dark,0,3.3,15,451030,217833,907245,515357,321634,1908467,171296,751039,2022875,509886
3420,homo,RA,Male,4.6,0,Dark,0,3.75,15,613764,258762,1008139,668869,415726,3160519,135713,835499,2863037,372294
3420,homo,RA,Male,4.6,0,Dark,0,3.9,15,1564793,165110,1179264,492891,1105263,4442307,59917,1027700,3032077,195504
3420,homo,RA,Male,4.6,0,Dark,0,3.3,15,510203,111283,582231,400203,406821,1204474,85699,554156,1344679,336723
3420,homo,RA,Male,4.6,0,Dark,0,3.75,15,280186,99881,704340,394785,199841,1455740,44037,630441,1747062,195509
3420,homo,RA,Male,4.6,0,Dark,0,3.5999999999999996,15,2175849,298322,1044859,671318,1835001,5024010,152671,966899,2696951,382380
3420,homo,RA,Male,4.6,0,Dark,0,3.3,15,1289671,295272,1512231,931580,1009688,3516535,202026,1367257,3657321,777173
3420,homo,RA,Male,4.6,1,Dark,0,3.5999999999999996,15,1490063,181885,1014511,662427,1180454,4046723,95598,910430,3113478,371037
3420,homo,RA,Male,4.6,0,Dark,0,3.5999999999999996,15,413630,100673,646238,397504,282677,1515521,44047,563779,1657561,198163
3420,homo,RA,Male,4.6,0,Dark,0,3.4499999999999997,15,143178,98922,334101,234046,127309,297866,67895,297963,917166,132796
3420,homo,RA,Male,4.6,0,Dark,0,3.0,15,1194318,397897,1179048,735286,1043103,2854792,286330,1066035,2539153,740055
3420,homo,RA,Male,4.6,0,Dark,0,3.5999999999999996,15,1802398,278348,1230246,736737,1443766,5223144,123559,1157964,3366935,369119
3420,homo,RA,Male,4.6,0,Dark,0,3.0,15,603286,135736,707164,456132,484059,1182911,114033,647679,1442098,461485
3529,wildtype,RC,Female,2.2,0,Dark,0,3.3,60,131775,66977,963051,550379,86471,427294,71890,756247,2204040,581441
3529,wildtype,RC,Female,2.2,0,Dark,0,3.5999999999999996,60,731720,251197,4090773,2367657,358038,2344113,281621,2459076,10792013,2636209
3529,wildtype,RC,Female,2.2,0,Dark,0,3.4499999999999997,60,605321,379880,4658189,3102934,260113,2372169,402775,2524980,13225285,3394033
3529,wildtype,RC,Female,2.2,0,Dark,0,3.4499999999999997,60,799924,137090,4088190,1488409,401868,1787745,218507,2611347,8776344,2100074
3529,wildtype,RC,Female,2.2,0,Dark,0,3.5999999999999996,60,701698,436649,6340061,3964436,308893,3037389,469753,3613285,19003208,4419221
3529,wildtype,RC,Female,2.2,0,Dark,0,3.3,60,794825,427184,5067623,3670221,462005,2600763,432778,3579174,13751472,4135645
3529,wildtype,RC,Female,2.2,0,Dark,0,3.15,60,843485,319235,5423136,3189748,393663,2442623,344885,3048591,13118713,3589816
3529,wildtype,RC,Female,2.2,0,Dark,0,3.0,60,718695,336145,5072462,3999349,361865,1884685,346901,3258127,11432547,4104856
3529,wildtype,RC,Female,2.2,0,Dark,0,3.15,60,350788,302024,3158456,2452439,171324,1516535,326049,1811078,8261248,2913232
3529,wildtype,RC,Female,2.2,0,Dark,0,3.0,60,718835,439686,4643407,4069550,326901,2519702,415673,2604862,10973794,4271816
3529,wildtype,RC,Female,2.2,0,Dark,0,3.15,60,584515,298533,4049609,3057080,275700,1740008,296436,2523287,9815403,3243292
3529,wildtype,RC,Female,2.2,0,Dark,0,3.3,60,556396,451385,5007592,3897079,236517,2433778,493696,2744146,13811677,4627612
3529,wildtype,RC,Female,2.2,0,Dark,0,3.0,60,1151985,1024513,9180643,7919434,514643,4961816,1014757,5338894,27081337,8790960
3529,wildtype,RC,Female,2.2,0,Dark,0,3.15,60,691341,547737,6395789,5885230,318418,2222326,638245,3707098,16268332,7140370
3529,wildtype,RC,Female,2.2,0,Dark,0,3.4499999999999997,60,539652,416160,4684082,4409396,212249,2438852,465537,2343836,14632219,5139442
3529,wildtype,RC,Female,2.2,0,Dark,0,3.15,60,547470,435300,4877823,4140390,229341,2153627,510188,2536473,13471808,4906799
3529,wildtype,RC,Female,2.2,0,Dark,0,3.0,60,742430,655087,4504455,4180693,287328,3352458,633466,2286470,12645755,4583648
3529,wildtype,RC,Female,2.2,0,Dark,0,3.15,60,824965,553566,6577765,4986985,383975,2898686,567957,3797085,16637407,5705401
3529,wildtype,RC,Female,2.2,0,Dark,0,3.4499999999999997,60,618300,398363,4695247,3524300,248940,2563169,440176,2528114,16515149,4079202
3529,wildtype,RC,Female,2.2,0,Dark,0,3.3,60,367004,242476,3403736,1990861,172086,1297257,268014,1978219,7736669,2359923
3529,wildtype,RC,Female,2.2,0,Dark,0,3.0,60,722167,484058,3974607,3538341,336514,2092913,503488,2447185,9205321,3912722
3529,wildtype,RC,Female,2.2,0,Dark,0,3.0,60,1449562,965109,6436115,6393200,630413,5768150,927627,3859061,17787749,6820063
3529,wildtype,RC,Female,2.2,0,Dark,0,3.3,60,609888,453896,3194052,3239549,282389,2841459,469873,1856231,9169958,3534185
3529,wildtype,RC,Female,2.2,0,Dark,0,3.15,60,1725126,1250378,7638172,6784161,667797,6376686,1275934,4029636,21639405,7983405
3529,wildtype,RC,Female,2.2,0,Dark,0,3.3,60,378808,218972,2781424,1895172,177164,1100190,298831,1654254,7094332,2336753
3529,wildtype,RC,Female,2.2,0,Dark,0,3.3,60,656114,463640,4956084,4422695,278461,2174714,600152,2748646,14119895,5235557
3529,wildtype,RC,Female,2.2,0,Dark,0,3.15,60,454333,475589,3068002,3244008,217207,1918332,528368,1734960,8405644,3369283
3529,wildtype,RC,Female,2.2,0,Dark,0,3.0,60,944796,752091,5181795,4735185,452696,3046360,826665,3136169,12663597,5367463
3529,wildtype,RD,Female,2.2,0,Dark,0,3.3,60,211344,206922,2169520,1864910,112016,803810,215388,1447361,5286212,1852455
3529,wildtype,RD,Female,2.2,0,Dark,0,3.9,60,334504,67933,3323669,537983,195721,1026225,42106,2285095,8896677,300845
3529,wildtype,RD,Female,2.2,0,Dark,1,3.5999999999999996,60,294764,51945,1985378,592661,205830,468759,35412,1339985,3666572,419401
3529,wildtype,RD,Female,2.2,0,Dark,0,3.0,60,339436,351420,2529407,2148109,156305,1791350,318616,1558811,5722971,2333218
3529,wildtype,RD,Female,2.2,0,Dark,0,3.0,60,232666,133524,1704636,1131220,104968,559619,149605,1011284,3214957,1249874
3529,wildtype,RD,Female,2.2,0,Dark,0,3.4499999999999997,60,173266,223739,1336036,1165696,103975,753907,224035,850364,3250031,1174074
3529,wildtype,RD,Female,2.2,0,Dark,0,3.15,60,285736,317176,1880640,1702676,127053,1690384,272004,1058509,4325491,1802562
