DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,107922,170093,1069585,653832,76333,367993,157541,779221,1528910,856820
3420,homo,L,Male,4.6,1,Light Flicker,0,2.55,15,489732,354335,1548185,1153001,249080,1501794,317760,969538,3064160,1372434
3420,homo,L,Male,4.6,0,Light Flicker,0,3.4499999999999997,15,383891,114257,1362099,596600,198085,844785,133175,874124,2177701,806164
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,252370,373467,2158679,1376614,154632,958229,332392,1592229,3209467,1677220
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,795411,604414,2374917,1593088,346857,2008454,654046,1193593,3984508,2072681
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,523795,247305,1794936,1130334,286747,1293570,244871,1093982,2733390,1425387
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,359295,271361,2252103,1399101,190471,1128486,273524,1419167,3616868,1711819
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,320754,307342,1906765,1423576,212109,1089310,279140,1348747,3572474,1709630
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,1193960,445640,1585318,1200860,818265,2583229,384229,1305501,2961364,1486791
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,549639,212893,1996757,1307658,290089,1388627,195489,1239210,3200973,1519644
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,466733,221580,2540712,1406024,244369,1248444,226192,1585747,3920317,1729883
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,207578,108128,1514569,804617,115861,622298,105916,991354,2416459,956941
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,147594,115622,1833591,1138668,100672,330264,136532,1390670,2605767,1417186
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,443405,323713,2348252,1402148,234417,1167666,273076,1443687,3579927,1665211
3420,homo,L,Male,4.6,1,Light Flicker,0,2.4,15,544146,409435,1546418,1167280,352778,1544736,352813,1125261,2781741,1358939
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,256458,138332,1484260,857470,132773,924766,126487,915234,2386565,992038
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,100723,108251,1188666,649216,69534,369949,115082,914321,1937415,778499
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,348767,282452,2073281,1348062,199692,835353,246918,1262316,3137812,1647764
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,555359,480261,1940562,1643429,323776,1888512,434819,1354466,3940749,1908084
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,206360,187103,1607004,1042054,111639,558965,189658,981747,2413586,1305209
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,674948,458971,3355193,1990196,356047,1756740,366556,2065802,5116044,2315435
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,118822,25952,554778,278851,80204,171917,37107,458983,970451,354433
3420,homo,L,Male,4.6,1,Light Flicker,0,2.25,15,581397,503437,2131718,1720897,364960,1509726,439961,1534233,3600074,2056224
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,335527,389143,1544390,993150,203671,1494344,366044,1070370,2695673,1164086
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,223060,191466,1414439,861274,126784,823825,172513,871939,2234834,1021888
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,227016,167566,1660879,1019456,117273,692086,164505,1026323,2611345,1196673
3420,homo,L,Male,4.6,1,Light Flicker,0,2.25,15,350594,369919,1730210,1242861,243947,1013879,317048,1332423,2753531,1451317
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,512850,317330,2443965,1420625,277151,1362349,282677,1520431,3579737,1661474
3420,homo,L,Male,4.6,1,Light Flicker,0,2.6999999999999997,15,485104,324664,2227339,1275675,253191,1559961,302200,1396675,3753818,1519409
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,177424,109140,1696627,904539,96092,520845,128336,1038828,2663930,1120167
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,247333,183173,1467064,911221,170909,691114,172794,1072343,2394866,1104748
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,306152,165971,1277699,661532,163612,1215869,140513,805560,1981601,771461
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,197062,186138,1787391,918336,115835,655117,174624,1146653,3100237,1106499
3420,homo,L,Male,4.6,1,Light Flicker,0,2.25,15,363105,294633,2376369,1532405,210191,934754,287137,1470686,3821720,1865021
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,438558,386433,1686795,1136539,268849,1927353,317436,1287067,3166760,1380816
3420,homo,L,Male,4.6,1,Light Flicker,0,2.4,15,432604,396154,2450453,1413826,224434,1096397,402405,1549483,3542161,1780475
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,188092,191576,1593846,827949,106356,746785,160017,1008925,2555379,976685
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,199400,157952,1484898,1016106,110464,574747,155693,920981,2473367,1175286
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,760831,500683,2508058,1649322,542741,1780458,433615,2110818,3900890,2017173
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,421982,348414,2684914,1614332,231362,1022906,339988,1650102,4018831,1994574
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,118015,100761,1153015,602357,72551,310561,100265,720251,1687166,713509
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,373424,272777,2096311,1273878,207688,1126767,246427,1335938,3542032,1455969
3420,homo,L,Male,4.6,1,Light Flicker,0,3.0,15,724613,193233,1162827,950367,495145,1349832,181261,794867,2727565,1095728
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,516290,294135,1342102,1071787,290803,1365808,261368,809640,2359219,1263515
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,557091,363209,2764495,1565101,341432,1353751,354253,2142541,3793019,1893011
3420,homo,L,Male,4.6,1,Light Flicker,0,2.4,15,603484,646203,4653242,2935239,329456,2119726,602845,2844287,7718921,3535230
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,483073,264300,1877883,1163001,334788,1120971,265180,1425133,3030581,1441283
3420,homo,L,Male,4.6,1,Light Flicker,0,2.4,15,505741,469827,2425344,1530733,260887,1505437,418976,1507796,4117507,1833266
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,560970,233495,941287,601213,334002,1851940,192386,624964,1827748,707567
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,576545,268605,957724,599194,344903,1853821,222250,637613,1821330,741804
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,344621,106066,1188488,672284,223554,668262,128295,796569,2359674,858443
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,246852,248049,2036888,1217214,163432,1033889,220090,1557368,3546774,1415174
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,287221,110554,1798436,989946,204097,442472,141773,1289840,3313497,1167168
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,204073,117173,1743029,1018522,142016,492293,126924,1328377,2713862,1183218
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,303840,134382,1853414,1056102,249101,448032,153806,1369448,3260846,1233474
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,316309,135029,2702498,1792258,247505,456610,183771,2028018,4396960,2154504
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,471748,279384,1750478,1063829,240303,1319047,253338,1056398,2911753,1266295
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,265325,224925,1723060,1129642,176694,643177,211060,1307385,2536770,1305493
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,169674,47613,1274989,539115,131178,221609,66079,936199,2412064,625931
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,327338,334332,2131951,1329179,184536,1136414,297663,1354487,3646424,1607480
3420,homo,L,Male,4.6,1,Light Flicker,0,2.85,15,754990,308000,2137925,1157952,414740,1832297,314420,1301017,3976630,1416481
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,297050,110196,1407861,805924,193965,673504,110346,1024578,2351732,953094
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,145766,91928,1122292,589461,94025,401568,90138,774255,1999627,731617
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,363012,207508,1527044,993302,220067,1137353,182849,1108858,2569304,1140131
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,452128,216543,2291790,1316710,279013,936741,232645,1581415,3610522,1609005
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,172912,176532,1155401,801246,98345,793606,154123,840507,1990254,972494
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,211404,161051,1359313,898110,114956,555112,152866,973361,2174195,1009473
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,509480,397196,1178418,754690,302887,1914510,321641,825480,2188708,965476
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,234391,169815,1437051,939721,121662,776025,163976,868815,2381747,1075897
3420,homo,L,Male,4.6,1,Light Flicker,0,2.6999999999999997,15,168414,167173,1289213,765155,105471,578042,153907,1018760,2466949,904727
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,244641,182363,1336481,686674,131359,1057293,144690,758156,2354229,800438
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,227482,166570,1518503,999555,175733,483947,164280,1209094,2180881,1170446
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,249541,101051,1256429,628066,169570,518914,105597,961940,1953242,768840
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,135594,115255,1200973,886583,76150,362817,126810,734047,2232822,1006601
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,438526,404050,2418783,1424507,254628,1351089,343957,1551867,4037831,1701195
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,71506,64097,780544,488532,61703,205546,64048,575014,1348404,598812
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,435682,205080,2188909,1285633,329229,644293,352126,1514214,3868967,1704440
3420,homo,L,Male,4.6,0,Light Flicker,0,3.4499999999999997,15,177916,61002,542766,287699,135031,304809,57021,430367,1146129,297793
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,211915,155800,1230232,864670,124242,488874,155948,779563,2028587,1030159
3420,homo,L,Male,4.6,0,Light Flicker,0,3.0,15,324060,110750,895216,593304,180705,873822,102969,593341,1679658,674854
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,103578,59825,621478,252813,63867,289122,53813,458093,928598,315456
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,176275,89839,1150558,1009888,97924,396898,92968,754468,2214354,1207059
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,191302,189557,1169221,1116351,106184,578815,169204,761127,2382506,1329976
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,173028,125936,921778,811842,75221,444065,132991,449243,1768626,934061
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,448119,95537,548698,441865,212547,774885,101203,324443,1051274,542823
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,236294,78203,1347866,799653,128364,433918,85246,873935,2263180,947756
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,772017,376438,2483836,1777927,388465,1383852,415646,1488544,4316559,2133406
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,577091,239235,1629277,1224399,224938,1083849,302534,744711,2837208,1455393
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,632793,258764,1586257,1357870,251617,1255044,255439,730144,3062043,1651559
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,1242960,501423,2531998,2571578,482521,2556897,475521,1177806,5412555,3032969
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,219642,146932,1283434,1102459,96624,692928,151022,649490,2678842,1295637
3420,homo,L,Male,4.6,1,Light Flicker,0,2.4,15,486699,298856,2303199,1780816,204849,1114863,311879,1080905,4956709,2006127
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,273268,136748,1243015,1076508,159520,546409,144662,825021,2230351,1368621
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,247646,253959,1579661,1655504,111310,776868,240326,830384,3283091,1995448
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,246946,139971,1233213,1233947,128873,677988,127554,810456,2572848,1470819
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,324965,157298,1465419,1407326,146960,630924,169522,768817,2888698,1688330
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,366477,256148,1774027,1416632,144323,1132816,256909,844247,3486507,1593612
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,294608,213058,1331509,1144942,152242,1007166,180286,848651,2571800,1410214
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,753575,344148,2267314,1837752,326071,2082135,280642,1173171,5253820,1972727
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,291622,262857,1436443,1242496,141671,1015324,207030,913491,3050924,1307547
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,146175,239920,1284214,1227693,86232,709316,203773,875162,2745679,1399526
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,774635,439922,2114724,1760732,323203,1965998,411921,994762,4195715,2016740
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,526168,346864,1583319,1401328,212832,1515298,276279,779215,3059906,1658295
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,74364,64485,437593,460649,39324,224109,62834,230958,975096,545147
3420,homo,L,Male,4.6,0,Light Flicker,0,3.3,15,191384,84990,1004011,684857,102715,660301,53848,629169,2148710,489314
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,198401,140544,1157131,1170593,83956,446601,149289,600355,2250317,1353388
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,593507,344867,1597788,1198420,232524,1624502,297015,716245,2988538,1333093
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,444491,293953,1435181,1522354,200741,1065299,260201,732351,2949408,1805842
3420,homo,L,Male,4.6,0,Light Flicker,0,3.5999999999999996,15,123974,47002,632941,334673,70006,349753,21201,388897,1434377,169449
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,298845,158814,1239231,1180890,135671,679686,160608,642318,2452420,1418897
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,275952,145078,1570171,1288757,155286,671814,144317,1027023,3291959,1484135
3420,homo,L,Male,4.6,0,Light Flicker,0,3.3,15,148956,98257,1101489,847966,81125,492801,65899,697060,2460651,615267
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,380788,152414,1319530,1122073,165441,810110,150841,651789,2581634,1274220
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,470993,273551,1177206,1143309,203290,1111066,263421,559625,2523900,1275038
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,184573,166145,923324,898837,75965,820534,144028,476422,1998475,1050637
3420,homo,L,Male,4.6,0,Light Flicker,0,3.4499999999999997,15,277722,186626,1219852,926471,148174,1031744,100813,764213,2880266,532308
3420,homo,L,Male,4.6,1,Light Flicker,0,2.6999999999999997,15,391876,276846,1726615,1300527,239939,996054,298489,1119827,3822794,1567118
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,359891,169478,1461247,1210405,152415,729344,210678,685769,2769942,1471254
3420,homo,L,Male,4.6,0,Light Flicker,0,2.85,15,59738,72555,780433,823041,26392,223905,70000,404508,1882144,889572
3420,homo,L,Male,4.6,1,Light Flicker,0,2.25,15,368664,425220,2142562,2453750,154451,1232155,397315,1088245,4897519,2843643
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,235266,294846,1588307,1446352,132818,796554,262461,1044715,3170335,1804983
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,211502,159774,1463638,1282838,82920,599019,156690,703596,2893274,1551002
3420,homo,L,Male,4.6,1,Light Flicker,0,2.25,15,76616,84028,1271217,1286005,46540,169290,112030,854573,2470241,1580501
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,93284,83229,957430,1011834,41719,300385,90786,487056,2279994,1165667
3420,homo,L,Male,4.6,0,Light Flicker,0,2.6999999999999997,15,93899,103636,741975,759744,39481,378169,88404,377299,1721360,902324
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,195210,31689,1077777,591510,119755,293766,37642,742387,1949916,716365
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,259393,250425,1262546,1414504,139700,715782,218691,807309,2663368,1717584
3420,homo,L,Male,4.6,0,Light Flicker,0,3.15,15,166664,110557,1020576,863129,87133,568470,78664,636640,2494214,707634
3420,homo,L,Male,4.6,1,Light Flicker,0,2.55,15,299946,193327,948875,991115,161761,895823,159439,616159,2134554,1253594
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,223442,72714,972019,797959,134363,373663,75406,638643,1817659,948205
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,135636,58850,654849,627871,70435,251468,62275,412709,1153886,733162
3420,homo,L,Male,4.6,0,Light Flicker,1,2.25,15,891357,795587,224937,476848,802131,2181019,1087736,187807,725538,595784
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,1615887,2350352,1800753,1271016,876636,6381220,2975982,1099571,3356266,1521873
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,1371121,1963113,710013,930559,747411,4745388,2453610,414095,1776307,1082205
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,4090396,3967230,3140536,2115279,2039157,13229519,5112649,2018129,5466691,2526347
3420,homo,L,Male,4.6,0,Light Flicker,0,2.25,15,2974329,3160786,2550364,1693495,1465758,9775243,4193225,1585451,4268981,2167461
3420,homo,L,Male,4.6,1,Light Flicker,0,2.6999999999999997,15,1388510,1294637,1180485,841441,708953,4124156,1761293,757316,2308354,1026216
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,678292,1296092,214237,549450,391696,3143203,1501402,137639,885865,612486
3420,homo,L,Male,4.6,0,Light Flicker,0,3.3,15,906488,989950,723609,353446,390040,4662044,1007809,366579,1690021,347372
3420,homo,L,Male,4.6,0,Light Flicker,0,2.55,15,1367732,1233112,1120928,878134,711338,4569806,1615171,731785,2051668,1016559
3420,homo,L,Male,4.6,0,Light Flicker,0,2.4,15,1206340,1206170,711591,705855,689999,3485790,1658674,446173,1455773,848732
3420,homo,L,Male,4.6,1,Light Flicker,0,2.4,15,2238004,2621689,1788783,1258294,1115899,7864133,3582056,1143682,3350057,1609066
